sex,age,sigma2_Y,sigma2_Y_minus_f,sigma2_f
1,70,28.928334838163227,22.498863787885814,3.677524948252014
1,71,28.47602925675125,22.10209232127741,3.6736261321633066
1,72,29.62851143226972,22.961416189423367,3.834951831264168
1,73,34.57661229366182,26.94573651988432,4.468348123102062
1,74,34.64101796076857,26.96345270464969,4.556536732905179
1,75,35.93981726634309,28.171909037603083,4.534238806668472
1,76,33.91593717140534,26.401859628335863,4.499409404004067
1,77,34.05746648161473,26.624488160981688,4.397341569825854
1,78,33.56441626392427,26.336400691522787,4.3731988192030045
1,79,32.513622196602554,25.30024710821856,4.288723306078432
1,80,32.823618981557594,25.60414180436509,4.230386129989087
1,81,32.226198193616824,25.070360159865025,4.188974433697066
1,82,31.525495444310977,24.4136801528933,4.1427479116668025
1,83,32.22129153927834,25.13980331544532,4.080659468265667
1,84,31.213129203738216,24.286059263218792,4.037487567935491
1,85,30.999580947317583,24.043687613047425,3.982665678581888
1,86,30.68187099203492,23.83428491559766,3.950415018015669
1,87,30.031364206173897,23.31863782424391,3.9063899990915294
1,88,29.940357037971204,23.20047242992348,3.848937191491336
1,89,29.389270961481643,22.81770971470709,3.8106290301802495
1,90,29.67791887928862,23.03702371806329,3.779807891554925
1,91,29.723860258674904,23.0008505694213,3.77494679072652
1,92,29.376445861783083,22.827237849738683,3.735941834126728
1,93,29.705578755656543,23.04138627792692,3.8685407028761
1,94,34.81338424925639,26.97097170471996,4.5241636498616815
1,95,35.34565487534888,27.4910889956689,4.532114021856323
1,96,35.56433908318893,27.88248686050325,4.559835680418342
1,97,34.280942780944535,26.74062084706588,4.489977676631716
1,98,35.16248406572595,27.354040780763388,4.473784682303768
1,99,34.44918082948436,26.822807735706377,4.397193642214688
1,100,34.41157801846087,26.913602863143787,4.390188621810587
2,70,18.52232240882461,14.81766637545132,3.001243581391764
2,71,18.53428836657208,14.893982458785374,2.960604191100139
2,72,18.79832156508502,15.155799939120456,2.9220876554417474
2,73,18.08623255537445,14.551866977008189,2.870109242137928
2,74,18.11305745842916,14.610303060149374,2.827498996300589
2,75,18.8888018053014,15.252489466862857,2.952462317211006
2,76,21.43935939929704,17.446449395407413,3.380322909872438
2,77,21.180296687848568,17.151889040146354,3.4146002849497545
2,78,21.174038342281992,17.20211598807872,3.3725752297304967
2,79,20.68743644611601,16.774674389705773,3.3126707583197
2,80,21.015343950810223,17.211158176519195,3.285955040584104
2,81,20.317633446925203,16.586317719113723,3.226717239972113
2,82,20.39493460747733,16.628188037567817,3.165603571252167
2,83,19.6140546544504,16.03792010854529,3.1249479284000765
2,84,19.92331383449006,16.27370884115323,3.08970890408631
2,85,19.86335376537391,16.21361098141957,3.0549920708729394
2,86,19.27352758344819,15.790584897622606,3.0116605108213275
2,87,19.044011566278133,15.520242867236096,2.961420375369694
2,88,18.78290724688165,15.30397201132902,2.9389682815054794
2,89,19.13320057767607,15.637436784287395,3.0311475176257927
2,90,21.436807443090483,17.638909649800695,3.4362096219759715
2,91,21.61706535807356,17.699336190721418,3.5245387035431968
2,92,21.520932172761345,17.612054848080728,3.493376182717377
2,93,22.645639673196165,18.743102522922023,3.5049868362906342
2,94,21.992214029530825,18.047367778995604,3.4339084272521307
2,95,21.49232349150903,17.719942388219575,3.384826320180959
2,96,20.94896631519838,17.159153268971735,3.358256304995697
2,97,21.10997776023782,17.323461685668313,3.3214845077953377
2,98,20.70966406937672,16.980286697670554,3.2901363641182315
2,99,20.30413026480783,16.586770583916255,3.2331602080145
2,100,20.224224180539228,16.575836038966308,3.205667437117256
