method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,bias_score_mean_mean,bias_budget_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
GH_P1_c15,1550,0.0,1.0,194.969360290213,1.4,4558.604516129032,29.314026631310984,13.839849273929149,13.839849273929149,15.0,0.3821157885682917,0.8331374195206943,12.78151409547498,0.5782898073666088,1.2387809660803475,0.04279307576525848,0.0407106297499177
GH_P1_c22,1550,0.0,1.0,309.13900664417184,1.4,4622.966129032258,43.17899260075977,20.059731332355106,20.059731332355106,22.0,0.3821157885682917,0.856310591930659,12.587919737569438,0.4869180530424838,1.1541268149884594,0.03315736592411464,0.029885008357030753
