method,n_targets,coverage_mean,coverage_min_target,coverage_max_target,coverage_cluster_se_mean,coverage_cluster_se_max,bias_mean,abs_bias_mean,rmse_mean,width_mean,se_mean,emp_sd_mean,emp_sd_over_se_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,fallback_rate_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_GH_mean,R_MB_mean,bias_score_mean,bias_budget_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,nw_corr_mean,nw_relative_difference_mean,negative_weight_fraction_mean,M_lambda_over_eigmax_mean,width_ratio_vs_GH_P1_c22_mean,rmse_ratio_vs_GH_P1_c22_mean,width_ratio_vs_GH_P1_c15_mean,rmse_ratio_vs_GH_P1_c15_mean
GH_P1_c15,31,0.940774193548387,0.922,0.959,0.0073639367962121585,0.0097058787151217,0.2152371868935108,0.2152371868935108,0.4658986598431985,1.5355747519746188,0.39172825305474973,0.4063659303006714,1.0373669173254039,20.218980033137512,16.488599973207837,3.196511210353124,0.0,194.96936029021296,1.3999999999999995,4558.604516129032,13.839849273929145,29.314026631310988,13.839849273929145,15.0,7.577685785264139,0.002369890381912497,0.3812541796451194,0.9794742068638361,0.3359451701483039,0.007149032258064508,0.4539424604048212,,,1.0,1.0
GH_P1_c22,31,0.9413225806451613,0.916,0.959,0.007511815185073061,0.0089625069379189,0.23564780606713473,0.23564780606713473,0.648285831016156,2.280241703590509,0.581694312140436,0.5947924253445315,1.0225171759990208,32.25178420409028,25.100561985348754,4.161602816024604,0.0,309.1390066441717,1.3999999999999995,4622.966129032258,20.059731332355113,43.17899260075978,20.059731332355113,22.0,7.576159851295693,0.0023748126502238388,0.38118280521500847,0.9882654273470313,0.2504351150522649,0.0,0.6975817658808123,1.0,1.0,,
LO_GH_P1_c15w,31,0.9394516129032259,0.917,0.955,0.007427797041778011,0.0085761891541735,0.2158913772758867,0.2158913772758867,0.5050919624721031,1.7124819156655635,0.4368576315473376,0.4502367538274742,1.030625817918639,20.211435525896164,,,,,,4558.604516129032,13.839849273929145,29.314026631310988,13.839849273929145,15.0,7.577685785264139,0.0022994367272983125,0.3811837259905052,0.9794742068638361,0.3359451701483039,0.007149032258064508,0.4539424604048212,,,1.1152301793542416,1.0856250276629082
LO_GH_P1_c22w,31,0.9411935483870968,0.924,0.958,0.007354975912453016,0.0087236483661554,0.2341598839401757,0.2343099997866196,0.7217805279500733,2.5931657082409005,0.6615218643471685,0.6743229502107221,1.019350964122987,32.24208675407525,,,,,,4622.966129032258,20.059731332355113,43.17899260075978,20.059731332355113,22.0,7.576159851295693,0.0023043734041913416,0.38111236596897596,0.9882654273470313,0.2504351150522649,0.0,0.6975817658808123,1.137251161024235,1.114345087420299,,
PPI_global,62,0.3019677419354838,0.074,0.519,0.01400668582017831,0.01978249071213,-0.93606087045124,0.93606087045124,1.0011993958154486,1.3449577956806111,0.34310147848995187,0.3490920687214763,1.0174601119700506,,,,,,,,,,,,0.0,8.254783588551705e-05,8.254783588551705e-05,,,,,0.7107677502833388,2.0285444437008717,0.6966059845470002,1.5322647858503071
