sex,age,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,gh_gamma_eff_mean,edge_score_mean,pc_ratio_mean,fallback_rate,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,nw_corr_mean,nw_relative_difference_mean,negative_weight_fraction_mean,M_lambda_over_eigmax_mean,width_ratio_vs_GH_P1_c22,rmse_ratio_vs_GH_P1_c22,width_ratio_vs_GH_P1_c15,rmse_ratio_vs_GH_P1_c15
1,70,GH_P1_c22,1000,50,0.94,0.0071428571428571,0.0505076272276105,0.0179118415475017,0.0179118415475017,0.5793524836933639,0.5952454614204827,2.333362208768292,0.5793652823775955,6.886993353152679,6.904905194700181,28.928334838163227,22.498863787885814,3.677524948252014,398.1071705534972,1.3999999999999997,4423.92,21.2463828033797,21.57275917059151,21.57275917059151,22.0,0.3821157885682916,0.7321382000421006,20.53529595529945,0.0,7.546389412209391,0.0023618188826367,0.3796812894931062,0.9889018559329328,0.1893639253351747,0.0,0.9917207834869158,1.0,1.0,,
1,70,LO_GH_P1_c22w,1000,50,0.938,0.0077670155537532,0.0549210936764031,0.0140765344272859,0.0140765344272859,0.6636972572275986,0.6758754794075995,2.6494318792777904,0.663879986945699,6.886993353152679,6.901069887579967,28.9192641812038,,,,,4423.92,21.2463828033797,21.57275917059151,21.57275917059151,22.0,0.3821157885682916,0.7321382000421006,20.53529595529945,,7.546389412209391,0.0022916062613949,0.3796110768718644,0.9889018559329328,0.1893639253351747,0.0,0.9917207834869158,1.135456753915776,1.1455845550131036,,
1,70,PPI_global,1000,50,0.074,0.0083592793361873,0.0591090310445062,-1.600139067351629,1.600139067351629,1.6494561920003006,0.4144192964925353,1.6245236422507383,0.4005260485645975,6.886993353152679,5.286854285801051,,,,,,,,,,,,,,,0.0,8.35223514586687e-05,8.35223514586687e-05,,,,,0.6962158023071235,2.8470684745926014,,
1,71,GH_P1_c22,1000,50,0.916,0.007618452357699,0.0538705932427565,0.000569465908348,0.000569465908348,0.6102718172982791,0.5893488026414112,2.310247306354332,0.6105769164224859,6.85268486576419,6.853254331672539,28.47602925675125,22.10209232127741,3.6736261321633066,396.469582462764,1.3999999999999997,4438.93,22.40954303238682,21.6711852574393,21.6711852574393,22.0,0.3821157885682916,0.7460782462710934,20.297270759995374,0.0,7.566786117069423,0.0023758753743022,0.3807151812277734,0.988817062394965,0.1927507392833129,0.0,0.9776777356183683,1.0,1.0,,
1,71,LO_GH_P1_c22w,1000,50,0.924,0.0065838392124588,0.0465547735337152,-0.0023267956198803,0.0023267956198803,0.6959902195250394,0.6703253329736535,2.627675305256722,0.6963345844852215,6.85268486576419,6.85035807014431,28.46676047033638,,,,,4438.93,22.40954303238682,21.6711852574393,21.6711852574393,22.0,0.3821157885682916,0.7460782462710934,20.297270759995374,,7.566786117069423,0.0023036031657829,0.3806429090192541,0.988817062394965,0.1927507392833129,0.0,0.9776777356183683,1.1374000082282554,1.1404593818640394,,
1,71,PPI_global,1000,50,0.074,0.0083592793361873,0.0591090310445062,-1.5868705901680935,1.5868705901680935,1.6409198479076372,0.4109109854848167,1.6107710631004817,0.4178927034878894,6.85268486576419,5.265814275596096,,,,,,,,,,,,,,,0.0,8.415395766496658e-05,8.415395766496658e-05,,,,,0.6972288458772608,2.6888343872278377,,
1,72,GH_P1_c22,1000,50,0.939,0.0083653805554042,0.0591521731793239,0.0495707462831905,0.0495707462831905,0.594429449608603,0.5894002241803352,2.310448878786914,0.5926553399969844,6.819842917392506,6.869413663675697,29.62851143226972,22.961416189423367,3.834951831264168,380.9124956007988,1.3999999999999997,4459.18,23.44498654600419,21.09015609144444,21.09015609144444,22.0,0.3821157885682916,0.759478254155125,19.82190241668896,0.0,7.567581963986158,0.0023748792689293,0.3807539774682373,0.9882248100293304,0.201791163812973,0.0,0.9290166658211184,1.0,1.0,,
1,72,LO_GH_P1_c22w,1000,50,0.932,0.0083004794550479,0.0586932530976403,0.0525484266783418,0.0525484266783418,0.6682648289549591,0.6730461178032893,2.638340781788894,0.6665289230611893,6.819842917392506,6.872391344070848,29.61859098813773,,,,,4459.18,23.44498654600419,21.09015609144444,21.09015609144444,22.0,0.3821157885682916,0.759478254155125,19.82190241668896,,7.567581963986158,0.0023023191876709,0.3806814173869788,0.9882248100293304,0.201791163812973,0.0,0.9290166658211184,1.141916969473974,1.124212182614728,,
1,72,PPI_global,1000,50,0.09,0.0097937922862872,0.0692525693916618,-1.5338662066230837,1.5338662066230837,1.587523295859909,0.4137927018608471,1.6220673912945207,0.4094536938470871,6.819842917392506,5.285976710769423,,,,,,,,,,,,,,,0.0,8.391165267676115e-05,8.391165267676115e-05,,,,,0.7020572522453631,2.6706673044298195,,
1,73,GH_P1_c22,1000,50,0.938,0.007222414091294,0.0510701798049127,0.1124841150860925,0.1124841150860925,0.629408730285619,0.5985471879734107,2.3463049768557696,0.619585797265582,6.7883700141781,6.900854129264195,34.57661229366182,26.94573651988432,4.468348123102062,329.3284707427035,1.3999999999999997,4474.7,23.504736628741437,18.82184115032612,18.82184115032612,22.0,0.3821157885682916,0.7716923337801073,19.08205982969029,0.0,7.567595590744167,0.0023789903111755,0.3807587698483839,0.9862812796661732,0.2262717734677654,0.0,0.7956354300914468,1.0,1.0,,
