setting,method,n_x0,n_reps,coverage_mean,coverage_min_x0,coverage_max_x0,bias_mean,abs_bias_mean,rmse_mean,rmse_max_x0,se_mean,emp_sd_mean,emp_sd_over_se_mean,width_mean,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean
base_q0.9_s1,GH_P1_c0.06,125,125000,0.9519279999999999,0.93,0.972,0.01244942102392447,0.01820289461866411,0.38759678356611954,0.4666122136691313,0.3701497722532126,0.3870997719674193,1.0457922737896796,1.4509871072325942,1.0,,,,,33.363345220826595,30.748001221372267,11.025756795401518,11.445069062066226,0.0019013226028233281,0.5741547757061347
base_q0.9_s1,GH_P1_c0.08,125,125000,0.951792,0.931,0.972,0.012633922775404824,0.01825762372578042,0.3862393626744871,0.4640877347129137,0.3690015377203189,0.38573244163764137,1.0453410140800103,1.4464860278636504,1.0,,,,,33.20980019540641,30.548615262359572,10.938530805778383,11.445069062066226,0.0018825040027722218,0.5741359571060837
base_q0.9_s1,GH_P1_c0.1,125,125000,0.9502079999999999,0.925,0.968,0.022239171432180065,0.025785247259826956,0.36287819956787526,0.4146004477161535,0.3479561480155687,0.3616110329685253,1.0392431202346386,1.3639881002210295,1.0,,,,,29.774510622131956,26.84890130343414,9.33885058153115,11.445069062066226,0.0018786577464937654,0.574132110849805
base_q0.9_s1,GH_P1_c0.12,125,125000,0.9454159999999999,0.909,0.966,0.04019465302830836,0.04201189225861198,0.3391958466207308,0.3863673740379335,0.32450319425002994,0.33572130616346957,1.0345701124433186,1.2720525214601175,1.0,,,,,26.145056368830012,23.18187761020918,7.811370246720986,11.445069062066226,0.0018774830631017193,0.5741309361664131
base_q0.9_s1,GH_P1_c0.14,125,125000,0.9390560000000001,0.891,0.963,0.05774918502466428,0.058335054574307994,0.32447398992382437,0.3630236424288776,0.30805786842812505,0.31767187583294676,1.0312084461723945,1.2075868442382505,1.0,,,,,23.671432117867344,20.74602956657545,6.8133238986390285,11.445069062066226,0.0018772200104817279,0.5741306731137932
