setting,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,A_score_mean_mean,M2_lambda_min_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
base_q0.9_s1,PPCI,2100,0.0,1.0,0.0261984032463586,1.4,4795.215,0.1139559907038541,0.0926596235618838,0.25,0.804872691954621,10804.771475522695,-0.0086264347664195,1.0905059675621642,1.0026643878388115,4.562905488799353,1.966365621670482,1.3925411827303222
base_q0.9_s1,PPCI,2100,0.0,1.0,0.0268143251562134,1.4,4798.762619047619,0.1443630261845661,0.0932356277759612,0.25,0.8326274705960641,12544.839934426884,-0.0054213883743635,1.0985984185255673,1.0035268422958494,4.453863971020582,1.83222906749068,1.3257859311662192
base_q0.9_s1,PPCI,2050,0.0,1.0,0.0308149299038162,1.3999999999999997,4803.728536585366,0.1554917432758019,0.0943396887198743,0.25,0.8559222995700775,9209.995931808688,-0.001050638481701,1.152985752822367,1.003683865490799,4.401834031543925,1.6492888237444152,1.2533481501804815
