reference,n_targets,mean_signed_shift,mean_abs_shift,max_abs_shift,mean_ess,mean_bandwidth_over_h0,mean_abs_shift_over_ppci_width,max_abs_shift_over_ppci_width
matern52_0.8h0,8,-0.021326840959105996,0.021326840959105996,0.026498223169214352,11532.2700840242,0.8,0.14835160200324804,0.18964377187849774
matern52_h0,8,0.0,0.0,0.0,12389.690563966591,1.0,0.0,0.0
matern52_1.2h0,8,0.01741428122734929,0.01741428122734929,0.021298040812669727,12948.75950527003,1.2,0.1210756166537123,0.1524268539646625
gaussian_ess_matched,8,-0.0023090327321693485,0.0023090327321693485,0.003740575055271811,12389.690563966593,0.9930398890024619,0.015942391305632214,0.025259926193044353
