dataset,reference,method,internal_methods,n_targets,coverage_mean,coverage_min,coverage_max,bias_mean,abs_bias_mean,rmse_mean,width_mean,coverage_cluster_se_mean,coverage_cluster_se_max
blogfeedback,matern52_0.8h0,PPCI,GH_P1_c300,8,0.9175,0.8633333333333333,0.96,0.022827921637474536,0.022827921637474536,0.04263082874128109,0.14436818873103205,0.016386195674043706,0.022817425810877975
blogfeedback,matern52_0.8h0,LO,LO_GH_P1_c300w,8,0.9404166666666667,0.92,0.9633333333333334,0.023539697632347305,0.023539697632347305,0.06046080043262436,0.21831712016297922,0.011655885341422253,0.015275252316519465
blogfeedback,matern52_0.8h0,PPI,PPI_global,8,0.07833333333333332,0.0,0.52,0.15364459932724484,0.15364459932724484,0.158506848645039,0.15295013278284256,0.009132149275493474,0.029600514796038195
blogfeedback,matern52_h0,PPCI,GH_P1_c300,8,0.9533333333333333,0.9333333333333333,0.97,0.0015010806783685398,0.0027816717455596057,0.03601022384558813,0.14436818873103205,0.01213019903020051,0.015170983163879988
blogfeedback,matern52_h0,LO,LO_GH_P1_c300w,8,0.9404166666666667,0.9066666666666666,0.9633333333333334,0.002212856673241306,0.003282349479201145,0.055695522304527845,0.21831712016297922,0.012022598698062652,0.014474937289114918
blogfeedback,matern52_h0,PPI,PPI_global,8,0.13624999999999998,0.0033333333333333335,0.69,0.13231775836813886,0.13231775836813886,0.1379743838158875,0.15295013278284256,0.016959924516312376,0.032440421581430665
blogfeedback,matern52_1.2h0,PPCI,GH_P1_c300,8,0.9212499999999999,0.8833333333333333,0.9566666666666667,-0.01591320054898075,0.01591320054898075,0.03948692825378939,0.14436818873103205,0.015737399240478827,0.021081851067789193
blogfeedback,matern52_1.2h0,LO,LO_GH_P1_c300w,8,0.92875,0.89,0.9566666666666667,-0.015201424554107983,0.015201424554107983,0.057791992129951265,0.21831712016297922,0.01535933008562786,0.022466906880162757
blogfeedback,matern52_1.2h0,PPI,PPI_global,8,0.19916666666666666,0.02,0.7966666666666666,0.11490347714078955,0.11490347714078955,0.12141611729850846,0.15295013278284256,0.0238814927283094,0.03933978962347216
blogfeedback,gaussian_ess_matched,PPCI,GH_P1_c300,8,0.9554166666666666,0.9366666666666666,0.97,0.003810113410537888,0.003810113410537888,0.03613381498552086,0.14436818873103205,0.011560208537822116,0.0148002573980191
blogfeedback,gaussian_ess_matched,LO,LO_GH_P1_c300w,8,0.9433333333333334,0.92,0.9633333333333334,0.004521889405410654,0.0049632744662811805,0.05581541383713562,0.21831712016297922,0.012038957241700883,0.015013221686128043
blogfeedback,gaussian_ess_matched,PPI,PPI_global,8,0.13041666666666665,0.0033333333333333335,0.6766666666666666,0.1346267911003082,0.1346267911003082,0.14019881885180294,0.15295013278284256,0.016845346142854968,0.033759184523364
