setting,pair,lo_method,ppci_method,empirical_variance_lo,empirical_variance_ppci,relative_variance_reduction,paired_error_correlation
b=0,NW_CV,NW_LO_CV,NW_PPCI_CV,0.03224854731789892,0.032203351012120365,0.001401498967783521,0.9823050445866535
b=0,NW_US,NW_LO_US,NW_PPCI_US,0.041030877637667336,0.040979201197999,0.0012594524573584787,0.9800200604778997
b=0,RKHS_LOCALIZATION_GH_P1,RKHS_LOCALIZATION_LO_GH_P1,RKHS_LOCALIZATION_PPCI_GH_P1,0.028333577052637136,0.028088551555316348,0.008647884341097756,0.9837300600337211
b=0,ORACLE_WSTAR,ORACLE_WSTAR_LO,ORACLE_WSTAR_PPCI,0.02206043204241948,0.011166972810285355,0.4938008109354953,0.6381725925851378
b=2,NW_CV,NW_LO_CV,NW_PPCI_CV,0.03387417286004344,0.03285231340444169,0.03016632936909569,0.9747929566155275
b=2,NW_US,NW_LO_US,NW_PPCI_US,0.04244509751758964,0.04167978742490178,0.018030588629716404,0.974948472984469
b=2,RKHS_LOCALIZATION_GH_P1,RKHS_LOCALIZATION_LO_GH_P1,RKHS_LOCALIZATION_PPCI_GH_P1,0.030191676021432395,0.028076491020529087,0.07005854856821414,0.9665854745237277
b=2,ORACLE_WSTAR,ORACLE_WSTAR_LO,ORACLE_WSTAR_PPCI,0.02876374592641657,0.011456241112771475,0.601712477155137,0.5800561373946128
