setting,replicate,b,h,estimate,error,analytic_uniform_bias,note
b=0,224,0.0,0.3,0.13563319626564316,0.13563319626564316,0.12,Uniform NW fixed-bandwidth sanity check
b=2,224,2.0,0.3,0.14181458903385533,0.14181458903385533,0.12,Uniform NW fixed-bandwidth sanity check
b=0,225,0.0,0.3,0.1051113623095224,0.1051113623095224,0.12,Uniform NW fixed-bandwidth sanity check
b=2,225,2.0,0.3,0.10805638472476672,0.10805638472476672,0.12,Uniform NW fixed-bandwidth sanity check
b=0,226,0.0,0.3,0.13522624782218107,0.13522624782218107,0.12,Uniform NW fixed-bandwidth sanity check
b=2,226,2.0,0.3,0.13933857425411814,0.13933857425411814,0.12,Uniform NW fixed-bandwidth sanity check
b=0,227,0.0,0.3,0.20157716624496738,0.20157716624496738,0.12,Uniform NW fixed-bandwidth sanity check
b=2,227,2.0,0.3,0.21078962155658826,0.21078962155658826,0.12,Uniform NW fixed-bandwidth sanity check
b=0,228,0.0,0.3,0.11604428697388403,0.11604428697388403,0.12,Uniform NW fixed-bandwidth sanity check
b=2,228,2.0,0.3,0.12006980236389339,0.12006980236389339,0.12,Uniform NW fixed-bandwidth sanity check
b=0,229,0.0,0.3,0.07227748166741932,0.07227748166741932,0.12,Uniform NW fixed-bandwidth sanity check
b=2,229,2.0,0.3,0.05743867266036061,0.05743867266036061,0.12,Uniform NW fixed-bandwidth sanity check
b=0,230,0.0,0.3,0.04589930993073563,0.04589930993073563,0.12,Uniform NW fixed-bandwidth sanity check
b=2,230,2.0,0.3,0.043631231407742,0.043631231407742,0.12,Uniform NW fixed-bandwidth sanity check
b=0,231,0.0,0.3,0.15271896838269008,0.15271896838269008,0.12,Uniform NW fixed-bandwidth sanity check
b=2,231,2.0,0.3,0.14180446422102452,0.14180446422102452,0.12,Uniform NW fixed-bandwidth sanity check
b=0,232,0.0,0.3,0.262917682592679,0.262917682592679,0.12,Uniform NW fixed-bandwidth sanity check
b=2,232,2.0,0.3,0.2533856897679958,0.2533856897679958,0.12,Uniform NW fixed-bandwidth sanity check
b=0,233,0.0,0.3,0.26018452648868845,0.26018452648868845,0.12,Uniform NW fixed-bandwidth sanity check
b=2,233,2.0,0.3,0.2594263325427146,0.2594263325427146,0.12,Uniform NW fixed-bandwidth sanity check
b=0,234,0.0,0.3,0.02471667893407922,0.02471667893407922,0.12,Uniform NW fixed-bandwidth sanity check
b=2,234,2.0,0.3,0.038506206000822205,0.038506206000822205,0.12,Uniform NW fixed-bandwidth sanity check
b=0,235,0.0,0.3,0.25959689198295594,0.25959689198295594,0.12,Uniform NW fixed-bandwidth sanity check
b=2,235,2.0,0.3,0.27712816010820523,0.27712816010820523,0.12,Uniform NW fixed-bandwidth sanity check
b=0,236,0.0,0.3,0.07411616349774051,0.07411616349774051,0.12,Uniform NW fixed-bandwidth sanity check
b=2,236,2.0,0.3,0.08237654985091028,0.08237654985091028,0.12,Uniform NW fixed-bandwidth sanity check
b=0,237,0.0,0.3,0.17259506436998895,0.17259506436998895,0.12,Uniform NW fixed-bandwidth sanity check
b=2,237,2.0,0.3,0.17312929792557358,0.17312929792557358,0.12,Uniform NW fixed-bandwidth sanity check
b=0,238,0.0,0.3,0.1274231659349298,0.1274231659349298,0.12,Uniform NW fixed-bandwidth sanity check
b=2,238,2.0,0.3,0.12469716285546341,0.12469716285546341,0.12,Uniform NW fixed-bandwidth sanity check
