b,h,bias_nw,var_lo_nw,var_ppci_nw,se_ppci_nw,bias_to_se,normal_approx_coverage,gain_nw,var_lo_signed_reference,var_ppci_signed_reference,gain_signed_reference
0.0,0.05,0.003333333333333334,0.10000088888888889,0.10000003555555556,0.3162278222351025,0.01054092365995278,0.9499872721018199,8.533257482068457e-06,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.0511786304205044,0.0034923362822914376,0.09769797949981085,0.09769706438691284,0.3125652961973111,0.011173141499646374,0.9499856995280015,9.366753567441322e-06,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.05238504423437157,0.0036589238125827547,0.0954481116504081,0.09544713028523295,0.30894518977519775,0.011843278140194221,0.9499839326556427,1.0281661503630524e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.05361989636865358,0.0038334577154468656,0.09325006425255383,0.09324901183857401,0.3053670117065267,0.012553607850513383,0.9499819474778001,1.1285933026017325e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.05488385718874136,0.004016317039885542,0.09110264437164871,0.09110151576507801,0.3018302764221608,0.01330654130359024,0.9499797170211753,1.2388296503185181e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.05617761286228675,0.004207898915873288,0.08900468658058272,0.08900347626523547,0.298334503980407,0.014104633757514149,0.9499772109795529,1.3598332781694644e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.05750186573170297,0.004408619416835728,0.08695505232874412,0.08695375438907425,0.2948792200021464,0.01495059372716612,0.9499743953019294,1.4926558435712778e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.058857334695445865,0.004618914463268981,0.0849526293257408,0.08495123741792898,0.2914639556067422,0.015847292175987113,0.9499712317297344,1.6384517146361688e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06024475559828313,0.004839240769462488,0.08299633093950827,0.08299483826045578,0.2880882473487174,0.016797772259014833,0.949967677276849,1.7984880001153947e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06166488163076292,0.005070076835381336,0.08108509560848734,0.08108349486256523,0.28475163715519747,0.017805259650247436,0.9499636836453433,1.9741555585484072e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06311848373809933,0.00531192398586228,0.07921788626756218,0.07921616963095306,0.28145367226411,0.01887317348937514,0.9499591965689862,2.166981082185604e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06460635103869605,0.005565307459380296,0.07739368978745818,0.07739184886991651,0.2781939051631371,0.020005137985020616,0.9499541550755889,2.3786403603787143e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06612929125253593,0.0058307775487503,0.07561151642730704,0.07560954223115088,0.2749718935294131,0.021204994713856437,0.9499484906581434,2.6109728377909924e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06768813113966865,0.006108910796241308,0.07387039930009424,0.07386828217622815,0.2717872001699641,0.022476815657326968,0.9499421263434649,2.8659975932932014e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.06928371694903475,0.00640031124569862,0.07216939385071242,0.07216712345146642,0.26863939296288325,0.023824917020203822,0.9499349756456574,3.1459308785231066e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.07091691487786973,0.006705611754393361,0.07050757734635117,0.07050514257490546,0.2655280447992367,0.02525387387785502,0.949926941390139,3.4532053679092733e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.07258861154193731,0.007025475367448367,0.0688840483789629,0.0688814373351109,0.26245273352569776,0.026768535701917066,0.9499179143922,3.7904912871034036e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.0742997144568474,0.0073605967578254106,0.0672979263795503,0.06729512630153513,0.25941304188790343,0.02837404281703787,0.9499077719720778,4.160719602830376e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.07605115253072006,0.007711703735001131,0.06574835114403021,0.06574534834617027,0.2564085574745318,0.030075843844514078,0.9498963762862889,4.5671074752395846e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.0778438765684626,0.008079558825608055,0.06423448237043547,0.06423126217623414,0.253438872662096,0.03187971419199113,0.9498835724524474,5.013186192992514e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.07967885978793421,0.008464960929473705,0.06275549920722316,0.06275204587763591,0.2505035845604528,0.033791775651940414,0.9498691864419613,5.5028318328598225e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.08155709834827748,0.00886874705465414,0.06131059981246729,0.061306896468975386,0.24760229495902372,0.03581851717538341,0.9498530227118143,6.0402989095376114e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.08347961189070448,0.009291794135230198,0.059899000923718936,0.05989502946583387,0.2447346102737287,0.03796681689131582,0.9498348615430497,6.630257306172727e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.08544744409203023,0.009735020935814175,0.058519937438326175,0.05851567845512158,0.2419001414946291,0.040243965446503556,0.9498144560495387,7.277832805419049e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.08746166323125455,0.01019939004690318,0.05717266200401286,0.05716809467925153,0.23909850413428255,0.04265769074479444,0.9497915288160618,7.988651570933758e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.08952336276949992,0.010685909975412645,0.055856444619522674,0.05585154662991499,0.23632931817680808,0.045216184169828894,0.9497657681196164,8.768888963572863e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.09163366194361959,0.011195637334930076,0.05457057224514341,0.054565319651239834,0.2335922080276648,0.047928128380053475,0.9497368236820886,9.625323113671147e-05,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.09379370637379893,0.011729679140445879,0.05331434842293261,0.05330871555211708,0.23088680246414492,0.05080272677026403,0.9497043018959264,0.00010565393711359228,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.09600466868547933,0.012289195212544873,0.05208709290647474,0.052081052227487004,0.2282127345865848,0.05384973469954327,0.9496677604571191,0.0001159726652163462,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.09826774914594238,0.012875400696279814,0.050888141300007,0.05088166328838063,0.22556964177029815,0.05707949259143249,0.9496267023315209,0.00012729904179797913,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.10058417631590044,0.01348956870019753,0.0497168447067588,0.04970989770051718,0.22295716561823525,0.06050296101850984,0.949580568971224,0.00013973143876278016,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.10295520771644642,0.014133033061248837,0.048572569386358455,0.048565119431263494,0.22037495191437592,0.0641317578902527,0.9495287326871598,0.0001533778259844576,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.10538213051172553,0.014807191241587137,0.04745469642116818,0.04744670710476532,0.2178226505778619,0.06797819787017156,0.9494704880722085,0.0001683567066145253,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.10786626220769925,0.015513507363546836,0.046362621391417023,0.046354053665065474,0.2152999156178782,0.07205533415573069,0.9494050423556591,0.00018479814329774857,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.11040895136738123,0.016253515389393004,0.04529575405900961,0.04528656604702791,0.21280640508929216,0.07637700276254906,0.9493315045546596,0.00020284488408628398,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.11301157834293296,0.01702882245274783,0.04425351805989754,0.04424366485489168,0.21034178104906234,0.0809578694628237,0.9492488732710989,0.00022265359767603687,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.11567555602501692,0.017841112348929104,0.0432353506049089,0.04322478404828264,0.20790570951342977,0.08581347953686981,0.9491560229628875,0.00024439622851268883,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.11840233060981388,0.01869214919178089,0.042240702188940576,0.0422293706355151,0.2054978604159058,0.09096031050615307,0.9490516884965257,0.0002682614833150465,0.02439285714285714,0.011775714285714285,0.5172474377745242
