b,grid_fraction,n_points,h_max_used,slope,expected_slope,absolute_error
0.0,0.4,48,0.14946751158297197,3.9994924993833556,4.0,0.0005075006166443963
2.0,0.4,48,0.14946751158297197,1.9951100672305655,2.0,0.004889932769434502
