b,grid,rule,coverage,bias,rmse,width,selected_h_mean,selected_h_median,lower_bound_hit_rate,us_clipping_rate
0.0,current,CV,0.956,0.029658311247956363,0.1783250375424796,0.7088820156794609,0.08298650897946189,0.08155709834827748,0.078,0.0
0.0,current,US,0.964,0.017511416764215804,0.19704651383687846,0.7923497308330479,0.06496594849888591,0.06257635554756599,0.078,0.172
0.0,extended,CV,0.958,0.02992487077332807,0.1802263055077705,0.718931716016742,0.08210620722402383,0.08317785558384197,0.004,0.0
0.0,extended,US,0.968,0.017613457318732276,0.2018483961354546,0.8134831117445263,0.06302715306032823,0.06381991476047312,0.004,0.01
2.0,current,CV,0.956,0.028765948655175833,0.1792668979646601,0.7156760635881081,0.08132126930110425,0.08155709834827748,0.086,0.0
2.0,current,US,0.968,0.0170089122254493,0.19818805905076994,0.7988296803294942,0.06380497352804268,0.06257635554756599,0.086,0.18
2.0,extended,CV,0.958,0.0284824258779749,0.18169518306356655,0.7252661903801625,0.08039009967324608,0.08317785558384197,0.004,0.0
2.0,extended,US,0.972,0.016587795118429904,0.2037057187126667,0.8206180004682874,0.06171043436348654,0.06381991476047312,0.004,0.01
