h,family,replicate,selected_lambda,mean_weight,mean_weight_x,mean_weight_x2,normalized_linear_imbalance,normalized_quadratic_imbalance,negative_weight_fraction,mean_absolute_weight,effective_sample_size
0.08,NW,249.5,,1.002519399442904,-3.970982884799708e-05,0.007709224380779832,0.001611473152200443,0.007689868297649444,0.0,1.002519399442904,726.672313317538
0.08,RKHS_LOCALIZATION,249.5,0.0005718263704932404,1.0117318681282585,-6.665267532844774e-06,4.7074020321406765e-05,0.00025198135548964626,4.6548064495090464e-05,0.485118,1.2076361526647852,156.70020886734233
0.2,NW,249.5,,1.0007734047619217,2.8751943567132203e-05,0.047600062000279705,0.0026161968488924016,0.047563311237814,0.0,1.0007734047619217,1816.9184273419298
0.2,RKHS_LOCALIZATION,249.5,0.0006175207796467599,1.005777951905091,1.4352211713697437e-05,0.00012825505616666322,0.00024607278758450034,0.00012736907767938246,0.4868292,1.219826214119987,329.95555366860197
0.4,NW,249.5,,1.0002118037847254,0.00015825970935568783,0.1477366261985784,0.003679130193112084,0.1477053743685404,0.0,1.0002118037847254,3415.1933173708044
0.4,RKHS_LOCALIZATION,249.5,0.0006477148615292767,1.0029571463156999,3.549280880860763e-05,0.0002597165093004939,0.00024200740972724408,0.00025883686957196985,0.4478836,1.2286479751992476,581.0579096041388
0.6,NW,249.5,,1.0000754630336024,0.00023519094571656057,0.2166393733887846,0.004582395667225475,0.21662304150822634,0.0,1.0000754630336024,4296.4558822958725
0.6,RKHS_LOCALIZATION,249.5,0.0006610942315475772,1.0019771036480865,1.9757308815004195e-05,0.00045982592804881545,0.00021314678862818147,0.00045884203658660917,0.41815159999999996,1.2330712336670306,810.1002330742263
