x0_1,x0_2,x0_3,theta0,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,lambda_1,lambda_2,den_u,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,N,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_f_mean,PPCI_sigma2_f_mean,PPCI_sigma2_Y_minus_f_std,PPCI_sigma2_f_std,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width
0.7,0.7,0.7,-1.369943006365065,0.01,0.08,1.9694250361747068,0.01969425036174707,0.15755400289397656,0.15755400289397659,0.003547287105499493,0.0036313033862332283,0.0034632708247657575,0.000503799353167432,1000,200,200,10000,10000,10000,10000,-1.247196467709954,0.7018515997062139,0.946,2.2837916426408995,2.3299490797030555e-05,8.828058398597846e-05,4.124546184142737e-05,4.2892464691775235e-05,2.3299490797030555e-05,8.828058398597846e-05,4.124546184142737e-05,4.2892464691775235e-05,-1.197252240174211,1.010037017924018,0.738,2.4746123723673636,3.57913615741252e-05,9.046307357275466e-05,-0.00040012986024022415,1.3716244015965007,0.0,0.30465042422414323
0.7,0.7,0.7166666666666667,-1.380779440140526,0.01,0.08,1.990143706107855,0.01990143706107855,0.1592114964886284,0.15921149648862842,0.003596148256936632,0.0035945850999207483,0.0035977114139525155,0.0005497290529528027,1000,200,200,10000,10000,10000,10000,-1.2306118565895467,0.6947299530443164,0.926,2.1805407604990004,2.5330612680476035e-05,0.00010296534080402407,4.762314093385631e-05,4.5131669528560515e-05,2.5330612680476035e-05,0.00010296534080402407,4.762314093385631e-05,4.5131669528560515e-05,-1.216461637704367,0.9929469030877623,0.725,2.464390093689769,3.900450067090153e-05,8.002633061443887e-05,0.006473357669383078,1.3894311942529498,0.0,0.3052926765636425
0.7,0.7,0.7333333333333333,-1.387329157994313,0.01,0.08,2.0168685309134475,0.020168685309134477,0.16134948247307582,0.16134948247307582,0.0036297765792492978,0.0035945850999207483,0.0036649680585778472,0.0005753317560892467,1000,200,200,10000,10000,10000,10000,-1.205097487994354,0.6843315792669544,0.922,2.130009441358469,2.6139008408785168e-05,0.00011095921494873941,5.203770079459791e-05,5.9169422125412786e-05,2.6139008408785168e-05,0.00011095921494873941,5.203770079459791e-05,5.9169422125412786e-05,-1.2187993791196372,1.0067719329595672,0.764,2.4708136781068424,3.96356340167688e-05,7.038929199716497e-05,-0.009189616570422781,1.3805374563479964,0.0,0.30541790457315615
0.7,0.7,0.75,-1.3895203998470036,0.01,0.08,2.0327269226541294,0.020327269226541295,0.16261815381233036,0.16261815381233036,0.0036649317085458944,0.00369856003085856,0.0036313033862332283,0.0005754891546739531,1000,200,200,10000,10000,10000,10000,-1.277407348650502,0.6789707868854948,0.933,2.187888625322831,2.6706035591770726e-05,0.00010808712542561461,4.1329166688479836e-05,3.6562466743142243e-05,2.6706035591770726e-05,0.00010808712542561461,4.1329166688479836e-05,3.6562466743142243e-05,-1.2207815454875068,0.9611040097949973,0.769,2.453063884926978,4.292462584106011e-05,6.837198899433902e-05,-0.007371580177384184,1.3843075415357717,0.0,0.30625713829672363
0.7,0.7,0.7666666666666666,-1.387329157994313,0.01,0.08,2.061438593308667,0.02061438593308667,0.16491508746469336,0.16491508746469336,0.0036625687980060924,0.003696960523810724,0.003628177072201461,0.000610178734588601,1000,200,200,10000,10000,10000,10000,-1.2655621593073771,0.6815039417951413,0.928,2.1825406900269035,3.030924308193807e-05,0.00010856796398755523,4.6814374437902894e-05,4.2128056197340795e-05,3.030924308193807e-05,0.00010856796398755523,4.6814374437902894e-05,4.2128056197340795e-05,-1.1856866400126782,0.9100182782548316,0.788,2.4365573700657928,4.7512407957894275e-05,7.709852611978165e-05,0.0011491312021558175,1.3907442390333886,0.0,0.30477766392166583
0.7,0.7,0.7833333333333333,-1.380779440140526,0.01,0.08,2.0916170139758536,0.020916170139758536,0.1673293611180683,0.1673293611180683,0.00378333971508426,0.0038361269340770844,0.003730552496091436,0.0007773142114055286,1000,200,200,10000,10000,10000,10000,-1.2340710496405718,0.6327622639277676,0.933,2.0400715022270686,4.361722692567565e-05,0.00018868350439612272,7.220594292384789e-05,6.255566278685115e-05,4.361722692567565e-05,0.00018868350439612272,7.220594292384789e-05,6.255566278685115e-05,-1.2510005776229265,0.9466874819619765,0.752,2.4084087287706826,6.610620517841241e-05,0.00011333411656930679,-0.003029271627792206,1.380014721806884,0.0,0.30483758872329103
0.7,0.7,0.7999999999999999,-1.369943006365065,0.01,0.08,2.125404590009501,0.021254045900095008,0.17003236720076007,0.17003236720076007,0.0038025730426624587,0.0038378026028570954,0.003767343482467822,0.0007867316167174786,1000,200,200,10000,10000,10000,10000,-1.2320864561320355,0.6353912989458392,0.932,2.101814587201513,4.6554042505437065e-05,0.00019408910033419713,7.423241729315349e-05,8.235094951572658e-05,4.6554042505437065e-05,0.00019408910033419713,7.423241729315349e-05,8.235094951572658e-05,-1.2201662442789383,0.9567824575613582,0.77,2.49297286890242,7.155810469768038e-05,0.00011595065469636639,-0.0071188159774540636,1.365108348180031,0.0,0.3054568212610391
0.7,0.7,0.8166666666666667,-1.3549385829040441,0.01,0.08,2.173646730572698,0.02173646730572698,0.17389173844581585,0.17389173844581585,0.003732915406631238,0.0037657439754199854,0.0037000868378424903,0.000812669383004928,1000,200,200,10000,10000,10000,10000,-1.2224683633096365,0.619413575492489,0.931,2.040742233915732,4.313556898008979e-05,0.0001937207597496924,6.306528715077132e-05,8.022320738840668e-05,4.313556898008979e-05,0.0001937207597496924,6.306528715077132e-05,8.022320738840668e-05,-1.2198487357291217,0.9018586663637275,0.79,2.4768087031650308,7.767718238658006e-05,0.00012130241893708241,0.0008393391121729561,1.3579973765520095,0.0,0.305694356498113
0.7,0.7,0.8333333333333333,-1.3359305613607793,0.01,0.08,2.178886003580548,0.021788860035805484,0.17431088028644387,0.17431088028644387,0.0037153560169989166,0.003767343482467822,0.0036633685515300106,0.0007725300193054119,1000,200,200,10000,10000,10000,10000,-1.2190656075495407,0.6429108957388864,0.954,2.191881074809211,4.6085923056221265e-05,0.0001865267666709925,6.623947104959098e-05,7.401705379775402e-05,4.6085923056221265e-05,0.0001865267666709925,6.623947104959098e-05,7.401705379775402e-05,-1.2132569953338754,0.9822014577497411,0.769,2.527680900851715,8.202427705650666e-05,0.000124885012412916,-0.002422033613696951,1.3359159451462275,0.0,0.3054485471124126
0.7,0.7,0.85,-1.3131271975969827,0.01,0.08,2.1921290707393304,0.021921290707393303,0.17537032565914643,0.17537032565914643,0.003784139468608179,0.0038361269340770844,0.0037321520031392734,0.0008665115605447915,1000,200,200,10000,10000,10000,10000,-1.1808135085061402,0.6379171960881812,0.94,2.0584751791623903,5.318444708234788e-05,0.0002200179539198155,8.499720958511956e-05,7.616360482970205e-05,5.318444708234788e-05,0.0002200179539198155,8.499720958511956e-05,7.616360482970205e-05,-1.199850733389164,0.9274105324489417,0.779,2.4568307685472273,8.215894540164993e-05,0.00012089533138021804,-0.005560092057556693,1.3099501525966242,0.0,0.30501373318951286
