method,n_pairs,theta_hat_difference_mean_nosplit_minus_twofold,theta_hat_absolute_difference_mean,theta_hat_absolute_difference_max,se_difference_mean_nosplit_minus_twofold,se_absolute_difference_mean,se_absolute_difference_max,width_difference_mean_nosplit_minus_twofold,width_absolute_difference_mean,width_absolute_difference_max,covered_difference_mean_nosplit_minus_twofold,covered_absolute_difference_mean,covered_absolute_difference_max,coverage_discordant_pairs,procedure_time_ratio_nosplit_over_twofold,gpu_peak_ratio_nosplit_over_twofold
LO,250,0.0020447299625301605,0.009814209260776708,0.2815975175754719,-0.0028577431750099096,0.010174350930926817,0.791639655171311,-0.011202353246038837,0.03988345564923312,3.1032274482715465,0.0,0.0,0.0,0,3.272107563975629,2.930837575011204
PPCI,250,0.0005185470407260644,0.006171603983959457,0.039516872611881526,0.0004614336924207928,0.0025903134057214377,0.024275619097656853,0.0018088200742895132,0.010154028550428035,0.095160426862815,0.0,0.0,0.0,0,3.272107563975629,2.930837575011204
