split,method,n_x0,n_reps,coverage,bias,abs_bias,rmse,emp_sd,se_mean,emp_sd_over_se_mean,width,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,procedure_seconds_mean,procedure_seconds_median,procedure_seconds_p90,gpu_peak_mb_mean,h_mean,lambda_mean,h_factor_mean,lambda_factor_mean,op_score_mean,loc_score_mean,fallback_rate
nosplit,LO,5,250,0.948,-0.021886641039093595,0.021886641039093595,0.526374405499801,0.5450283479055377,0.4477689606239485,1.2172088640223342,1.7552543256458781,30.53988171968888,,,37.152175315484406,37.19673473248258,37.29419373646378,7855.41748046875,2.8593268616876752,8.639990855808921e-05,1.2,0.029049036055926156,1.630452209026892,1.8090090203860214,0.0
nosplit,PPCI,5,250,0.964,0.047181952516401254,0.047181952516401254,0.34688292648389474,0.3625186756392286,0.3450105412600099,1.0507466650592108,1.3524413217392388,29.438410034256908,26.243273822029003,8.040955184587233,37.152175315484406,37.19673473248258,37.29419373646378,7855.41748046875,2.8593268616876752,8.639990855808921e-05,1.2,0.029049036055926156,1.630452209026892,1.8090090203860214,0.0
twofold,LO,5,250,0.948,-0.02393137100162375,0.02393137100162375,0.5355160805610537,0.5547375108523643,0.4506267037989584,1.2310355914900544,1.766456678891917,31.26843156280787,,,11.354203548964113,11.338622617535293,11.399449242651462,2680.263671875,2.8595349407235853,8.691013971930665e-05,1.2,0.029220583962010466,2.2287138630272394,1.6770296389576087,0.0
twofold,PPCI,5,250,0.964,0.046663405475675185,0.046663405475675185,0.3464933289833061,0.36277978707216135,0.3445491075675891,1.0529117014212437,1.3506325016649494,30.06572075406733,26.750420422556843,8.314290907222665,11.354203548964113,11.338622617535293,11.399449242651462,2680.263671875,2.8595349407235853,8.691013971930665e-05,1.2,0.029220583962010466,2.2287138630272394,1.6770296389576087,0.0
