dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift
blogfeedback,0,matern52_0.8h0,matern52,13.642173341830869,0.8,12613.053556419005,0.4920606960705791,0.5148905614993182,-0.022829865428739105,0.022829865428739105
blogfeedback,0,matern52_h0,matern52,17.052716677288586,1.0,13192.455300328682,0.5148905614993182,0.5148905614993182,0.0,0.0
blogfeedback,0,matern52_1.2h0,matern52,20.463260012746304,1.2,13560.190692231788,0.5327970766497635,0.5148905614993182,0.01790651515044528,0.01790651515044528
blogfeedback,0,gaussian_ess_matched,gaussian,17.1813408791197,1.0075427396270775,13192.455300328682,0.5137763520305936,0.5148905614993182,-0.0011142094687246473,0.0011142094687246473
blogfeedback,1,matern52_0.8h0,matern52,12.125969291997755,0.8,12711.180359045788,0.5275825053848915,0.541118888721819,-0.013536383336927527,0.013536383336927527
blogfeedback,1,matern52_h0,matern52,15.157461614997194,1.0,13220.348809933286,0.541118888721819,0.541118888721819,0.0,0.0
blogfeedback,1,matern52_1.2h0,matern52,18.188953937996633,1.2,13555.695129101663,0.5528822344696166,0.541118888721819,0.011763345747797582,0.011763345747797582
blogfeedback,1,gaussian_ess_matched,gaussian,15.473310039756022,1.0208378178867574,13220.348809933286,0.5390625576370317,0.541118888721819,-0.0020563310847873106,0.0020563310847873106
blogfeedback,2,matern52_0.8h0,matern52,18.460387346705442,0.7999999999999999,13642.581248766039,0.5382831014696532,0.5560387350995598,-0.01775563362990662,0.01775563362990662
blogfeedback,2,matern52_h0,matern52,23.075484183381803,1.0,13924.711389764707,0.5560387350995598,0.5560387350995598,0.0,0.0
blogfeedback,2,matern52_1.2h0,matern52,27.690581020058165,1.2,14098.190042730797,0.5693829612231623,0.5560387350995598,0.013344226123602532,0.013344226123602532
blogfeedback,2,gaussian_ess_matched,gaussian,23.38392154927364,1.0133664526144142,13924.71138976471,0.556151385615139,0.5560387350995598,0.00011265051557918238,0.00011265051557918238
blogfeedback,3,matern52_0.8h0,matern52,9.691245138444819,0.8,10753.160737421027,0.46642837682848365,0.48746608346672526,-0.021037706638241616,0.021037706638241616
blogfeedback,3,matern52_h0,matern52,12.114056423056022,1.0,11828.108117376956,0.48746608346672526,0.48746608346672526,0.0,0.0
blogfeedback,3,matern52_1.2h0,matern52,14.536867707667225,1.2,12529.309446824973,0.5051731774126427,0.48746608346672526,0.017707093945917407,0.017707093945917407
blogfeedback,3,gaussian_ess_matched,gaussian,11.909775111247235,0.9831368366899803,11828.108117376958,0.4840188340621411,0.48746608346672526,-0.003447249404584185,0.003447249404584185
blogfeedback,4,matern52_0.8h0,matern52,10.36455946742713,0.8,11427.822777006095,0.4573466507972877,0.4821097246139361,-0.024763073816648384,0.024763073816648384
blogfeedback,4,matern52_h0,matern52,12.955699334283912,1.0,12293.665345495674,0.4821097246139361,0.4821097246139361,0.0,0.0
blogfeedback,4,matern52_1.2h0,matern52,15.546839201140694,1.2,12863.527934822503,0.501950148702946,0.4821097246139361,0.019840424089009878,0.019840424089009878
blogfeedback,4,gaussian_ess_matched,gaussian,12.922302581647124,0.997422234664831,12293.665345495676,0.4805802145555217,0.4821097246139361,-0.0015295100584143961,0.0015295100584143961
blogfeedback,5,matern52_0.8h0,matern52,13.794950175576055,0.8,12985.343466153534,0.5091587568886244,0.5290206768015444,-0.019861919912919968,0.019861919912919968
blogfeedback,5,matern52_h0,matern52,17.243687719470067,1.0,13431.570106946008,0.5290206768015444,0.5290206768015444,0.0,0.0
blogfeedback,5,matern52_1.2h0,matern52,20.69242526336408,1.2,13722.266133540552,0.5447277930512783,0.5290206768015444,0.015707116249733866,0.015707116249733866
blogfeedback,5,gaussian_ess_matched,gaussian,17.589836902276627,1.0200739649451966,13431.57010694601,0.5285329731498151,0.5290206768015444,-0.00048770365172934316,0.00048770365172934316
