reference,n_targets,mean_signed_shift,mean_abs_shift,max_abs_shift,mean_ess,mean_bandwidth_over_h0
matern52_0.8h0,50,-0.018497360266924685,0.019954593884720116,0.02816201315825867,12205.112960033393,0.8
matern52_h0,50,0.0,0.0,0.0,12869.110810513806,1.0
matern52_1.2h0,50,0.015136567027627628,0.01592030365036004,0.02226433235035402,13301.171738441304,1.2
gaussian_ess_matched,50,-0.0015934780275207493,0.0016321672544113185,0.004403040424668547,12869.110810513808,1.001809548524573
