dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
blogfeedback,0,matern52_0.8h0,matern52,13.642173341830869,0.8,12613.053556419005,0.4920606960705791
blogfeedback,0,matern52_h0,matern52,17.052716677288586,1.0,13192.455300328682,0.5148905614993182
blogfeedback,0,matern52_1.2h0,matern52,20.463260012746304,1.2,13560.190692231788,0.5327970766497635
blogfeedback,0,gaussian_ess_matched,gaussian,17.1813408791197,1.0075427396270775,13192.455300328682,0.5137763520305936
blogfeedback,1,matern52_0.8h0,matern52,12.125969291997755,0.8,12711.180359045788,0.5275825053848915
blogfeedback,1,matern52_h0,matern52,15.157461614997194,1.0,13220.348809933286,0.541118888721819
blogfeedback,1,matern52_1.2h0,matern52,18.188953937996633,1.2,13555.695129101663,0.5528822344696166
blogfeedback,1,gaussian_ess_matched,gaussian,15.473310039756022,1.0208378178867574,13220.348809933286,0.5390625576370317
blogfeedback,2,matern52_0.8h0,matern52,18.460387346705442,0.7999999999999999,13642.581248766039,0.5382831014696532
blogfeedback,2,matern52_h0,matern52,23.075484183381803,1.0,13924.711389764707,0.5560387350995598
blogfeedback,2,matern52_1.2h0,matern52,27.690581020058165,1.2,14098.190042730797,0.5693829612231623
blogfeedback,2,gaussian_ess_matched,gaussian,23.38392154927364,1.0133664526144142,13924.71138976471,0.556151385615139
blogfeedback,3,matern52_0.8h0,matern52,9.691245138444819,0.8,10753.160737421027,0.46642837682848365
blogfeedback,3,matern52_h0,matern52,12.114056423056022,1.0,11828.108117376956,0.48746608346672526
blogfeedback,3,matern52_1.2h0,matern52,14.536867707667225,1.2,12529.309446824973,0.5051731774126427
blogfeedback,3,gaussian_ess_matched,gaussian,11.909775111247235,0.9831368366899803,11828.108117376958,0.4840188340621411
blogfeedback,4,matern52_0.8h0,matern52,10.36455946742713,0.8,11427.822777006095,0.4573466507972877
blogfeedback,4,matern52_h0,matern52,12.955699334283912,1.0,12293.665345495674,0.4821097246139361
blogfeedback,4,matern52_1.2h0,matern52,15.546839201140694,1.2,12863.527934822503,0.501950148702946
blogfeedback,4,gaussian_ess_matched,gaussian,12.922302581647124,0.997422234664831,12293.665345495676,0.4805802145555217
