age,sex,x0_raw,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_mean,PPCI_sigma2_A_std,PPCILO_theta_mean,PPCILO_theta_rmse,PPCILO_coverage,PPCILO_avg_ci_width,PPCILO_sigma2_Y_mean,PPCILO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
70,1,"[70.0, 1.0]",smooth,smooth,6.886993353152681,6.580326130653265,6.886993353152681,1.3541287163666167,0.9,1.1,1.3104471448709194,1.1794024303838275,1.4414918593580115,1.1794024303838275,0.010117948238625782,500,200,200,10000,7000,3000,1,7.07724074025743,0.794958813305907,0.946,2.9648348973317256,28.15177831659712,15.398854228870928,4.62462310708445,0.2814796520084225,7.050737042589303,0.8628680166346322,0.948,3.3314074715708983,35.949122337076076,17.122044658118867,5.265869101165843,1.701188023168079,0.16,1.9794377894430373,10000.0
71,1,"[71.0, 1.0]",smooth,smooth,6.8526848657641874,7.182903373231774,6.8526848657641874,1.397810287862314,0.9,1.1,1.5943773595929518,1.4349396236336567,1.7538150955522471,1.4349396236336567,0.010117948238625782,500,200,200,10000,7000,3000,1,6.84655097532795,0.7061386758448516,0.928,2.789534579842317,31.922655611628027,15.57675414165227,5.223837817005853,0.224531394382184,6.850520041262329,0.788063471587612,0.934,3.1754752344186303,41.63305144733408,17.663936526837137,5.315426496244815,1.6183265608047257,0.222,1.9945746019352937,10000.0
72,1,"[72.0, 1.0]",smooth,smooth,6.819842917392508,6.945172684458399,6.819842917392508,1.4414918593580113,0.9,1.1,1.3322879306187678,1.199059137556891,1.4655167236806448,1.199059137556891,0.010117948238625782,500,200,200,10000,7000,3000,1,7.087863898149388,0.8644831392205279,0.928,2.9483104169801297,26.197217145282483,14.341065775564106,4.446050200326185,0.3202524236424997,7.090072737614584,0.9578670299089829,0.928,3.3396961774759655,33.6102636387469,16.44039641139379,5.273198924577893,1.6380564081325335,0.2,1.9503384039004246,10000.0
73,1,"[73.0, 1.0]",smooth,smooth,6.788370014178104,6.659566903684551,6.788370014178104,1.4851734308537086,0.9,1.1,1.4851734308537086,1.3366560877683378,1.6336907739390796,1.3366560877683378,0.010117948238625782,500,200,200,10000,7000,3000,1,6.956941538049075,0.7621075487556378,0.936,2.8864632335899514,28.325304808798784,14.191594165040872,4.637749201544606,0.22393796907937547,6.942699022388175,0.8527642644108724,0.936,3.2640626042098773,36.29942672413768,15.888687356186267,5.293369967824385,1.5804328560877463,0.244,1.991634175539034,10000.0
74,1,"[74.0, 1.0]",smooth,smooth,6.758177456728085,7.068258645533142,6.758177456728085,1.5288550023494059,0.9,1.1,1.3759695021144651,1.2383725519030186,1.5135664523259118,1.2383725519030186,0.010117948238625782,500,200,200,10000,7000,3000,1,7.038666791558545,0.8151435331916657,0.952,3.001939727292956,26.234785659961695,15.46390371777315,4.2140362106397475,0.2850169615740138,7.049598106863343,0.916757160212387,0.954,3.3870713547937656,33.354774016002814,17.351834289071608,5.278809032850782,1.5638596066771504,0.238,1.9893621122744298,10000.0
75,1,"[75.0, 1.0]",smooth,smooth,6.729184392914373,6.709554150197628,6.729184392914373,1.5725365738451031,0.9,1.1,1.5506957880972545,1.3956262092875291,1.70576536690698,1.3956262092875291,0.010117948238625782,500,200,200,10000,7000,3000,1,6.948098362346231,0.7589048214122711,0.936,2.8559354242749104,27.333795394397434,13.936450342836672,4.502634259144976,0.2187477289407571,6.932717865793738,0.841728270803314,0.936,3.249783877367496,35.39545732230882,15.729908859110767,5.31936514463308,1.4964962996412885,0.256,1.9884644691944018,10000.0
76,1,"[76.0, 1.0]",smooth,smooth,6.701316969709776,6.826416732438831,6.701316969709776,1.6162181453408004,0.9,1.1,1.6598997168364977,1.493909745152848,1.8258896885201477,1.493909745152848,0.010117948238625782,500,200,200,10000,7000,3000,1,6.833016463047097,0.7713736314631592,0.922,2.8196698571416174,28.67027089724636,15.874325924873776,4.594528387023428,0.20779413259785648,6.821069132659523,0.8589226890881051,0.926,3.1856541926611364,36.84526615209446,18.039660572266236,5.289709557496916,1.5083098770895769,0.284,1.9885250636510055,10000.0
77,1,"[77.0, 1.0]",smooth,smooth,6.674507573728135,7.231306406685237,6.674507573728135,1.6598997168364977,0.9,1.1,1.703581288332195,1.5332231594989756,1.8739394171654147,1.5332231594989756,0.010117948238625782,500,200,200,10000,7000,3000,1,6.756383837429958,0.6969327065862587,0.938,2.730385835045707,26.55712310786687,13.018986719266355,4.539658072673227,0.1991702234170516,6.748011949926368,0.7839121412250533,0.942,3.118953972201437,34.566244222330646,14.840960971864375,5.2644333361587226,1.4949890549097766,0.25,1.9522657891533344,10000.0
78,1,"[78.0, 1.0]",smooth,smooth,6.648694160441112,6.0484971644612475,6.648694160441112,1.7035812883321952,0.9,1.1,1.6162181453408007,1.4545963308067207,1.7778399598748809,1.4545963308067207,0.00921034984663358,500,200,200,10000,7000,3000,1,6.862214562402818,0.7614645975490616,0.944,2.833023738132357,25.17764953549022,13.176147864170318,4.167465703607771,0.2103474191967477,6.857149226933338,0.8505508939857717,0.944,3.189741940247859,32.24239520014658,14.59146430310924,5.281046265239237,1.4568258342442848,0.292,1.9679079828722308,10000.0
79,1,"[79.0, 1.0]",smooth,smooth,6.623819661164262,5.987001051524711,6.623819661164262,1.7472628598278925,0.9,1.1,1.7472628598278925,1.5725365738451034,1.921989145810682,1.5725365738451034,0.00921034984663358,500,200,200,10000,7000,3000,1,6.78097696990439,0.7206541883402642,0.952,2.8240142888010538,27.476480043788964,14.739671265247136,4.357925535138949,0.1975943941754213,6.78117695648735,0.8357623077877985,0.952,3.201810044808045,35.39961459680207,16.526500214827006,5.28538450686637,1.4279162626855253,0.27,1.9971523515564549,10000.0
80,1,"[80.0, 1.0]",smooth,smooth,6.5998314609002025,5.6380906002265,6.5998314609002025,1.7909444313235898,0.9,1.1,1.7691036455757412,1.5921932810181672,1.9460140101333154,1.5921932810181672,0.00921034984663358,500,200,200,10000,7000,3000,1,6.785169247325235,0.7498573440038109,0.936,2.781091480632418,25.993254352911894,13.840549050069228,4.262677951444434,0.18941568037769188,6.7964181233474195,0.8184759200024806,0.942,3.144411112558243,33.43198373781786,15.282883490673191,5.29906727930146,1.4006403440151525,0.326,1.9851384530240708,10000.0
81,1,"[81.0, 1.0]",smooth,smooth,6.576680952449951,5.903658064516129,6.576680952449951,1.8346260028192871,0.9,1.1,1.8127852170714385,1.6315066953642947,1.9940637387785825,1.6315066953642947,0.00921034984663358,500,200,200,10000,7000,3000,1,6.739882742733234,0.726216795362326,0.934,2.7457958830924465,25.209076263823675,13.104289197912758,4.206823870459848,0.18493348752065897,6.759348125579422,0.7973997117708934,0.944,3.1268455712608874,32.780966978385784,14.772603969373124,5.286925951492464,1.3911300377638565,0.346,1.9701707019051744,10000.0
82,1,"[82.0, 1.0]",smooth,smooth,6.554323155487663,5.740029112081514,6.554323155487663,1.8783075743149844,0.9,1.1,1.9219891458106817,1.7297902312296136,2.1141880603917502,1.7297902312296136,0.00921034984663358,500,200,200,10000,7000,3000,1,6.678170258403361,0.7180977046993906,0.946,2.7031751598786866,25.92827650764535,13.766717541003318,4.324710163210028,0.17081014580924203,6.661404132014902,0.8151908043896157,0.944,3.0886975988422813,33.84216815991755,15.433911047976663,5.28444713732239,1.3729237940913959,0.312,1.9653070252690856,10000.0
83,1,"[83.0, 1.0]",smooth,smooth,6.532716385825612,5.549115131578947,6.532716385825612,1.9219891458106817,0.9,1.1,1.9875115030542276,1.788760352748805,2.1862626533596505,1.788760352748805,0.00921034984663358,500,200,200,10000,7000,3000,1,6.6306769386060225,0.744960038617951,0.912,2.6953659657220386,26.436630466942436,14.707761601278124,4.345383260507298,0.17570462839091605,6.6151053699743025,0.8355794013744181,0.928,3.0805289028305025,34.43494362598784,16.52335034497831,5.28411773626163,1.3599191243712658,0.342,1.9789634568921042,10000.0
84,1,"[84.0, 1.0]",smooth,smooth,6.511821961855992,5.61238475177305,6.511821961855992,1.965670717306379,0.9,1.1,2.031193074549925,1.8280737670949325,2.2343123820049176,1.8280737670949325,0.00921034984663358,500,200,200,10000,7000,3000,1,6.601813912177236,0.6707833886655727,0.932,2.6688498665636686,25.662608077717124,13.657192840326717,4.281741919837832,0.16632327370067326,6.586258809131106,0.78282396318476,0.936,3.042223259083957,33.65871884285978,15.583501558369717,5.275845184364746,1.3332435323322553,0.33,1.974837951899345,10000.0
85,1,"[85.0, 1.0]",smooth,smooth,6.491603941585138,5.384316479400748,6.491603941585138,2.0093522888020763,0.9,1.1,1.8564667885671358,1.6708201097104223,2.0421134674238495,1.6708201097104223,0.00921034984663358,500,200,200,10000,7000,3000,1,6.765180119126779,0.8103306451880057,0.922,2.7652089457485856,22.632375467578182,12.611367259738294,3.725502133713705,0.18225312895995766,6.76022665086602,0.8997752673084798,0.926,3.140573846034469,29.227744762950937,14.076582982909404,5.297939818966055,1.3102954166460508,0.382,1.960700699729214,10000.0
86,1,"[86.0, 1.0]",smooth,smooth,6.472028886351447,5.634662131519274,6.472028886351447,2.0530338602977736,0.9,1.1,2.0093522888020763,1.8084170599218687,2.2102875176822843,1.8084170599218687,0.00921034984663358,500,200,200,10000,7000,3000,1,6.627215681216376,0.7226932564801083,0.934,2.6831112159043196,23.328745511415484,12.14016170692431,3.932703558241718,0.16585432775579442,6.604719760268579,0.7930877367459759,0.942,3.0613682843280996,30.372884861560358,13.454647833481213,5.27255000835922,1.3052351821165293,0.34,1.9585764910612993,10000.0
87,1,"[87.0, 1.0]",smooth,smooth,6.453065647674776,6.001992974238875,6.453065647674776,2.096715431793471,0.9,1.1,2.096715431793471,1.8870438886141239,2.3063869749728183,1.8870438886141239,0.00921034984663358,500,200,200,10000,7000,3000,1,6.596070255328508,0.7394357751969561,0.916,2.6491039117314945,23.758061546870376,12.721755666632886,4.008278221224968,0.15195462044309557,6.601604053907699,0.8517401158283361,0.91,3.0217752212928395,30.999663847333235,14.260105702266438,5.282465874709015,1.285582874653346,0.38,1.946887800780116,10000.0
88,1,"[88.0, 1.0]",smooth,smooth,6.434685174491138,5.2165587467362915,6.434685174491138,2.140397003289168,0.9,1.1,2.096715431793471,1.8870438886141239,2.3063869749728183,1.8870438886141239,0.00921034984663358,500,200,200,10000,7000,3000,1,6.638540290960302,0.7290513398881768,0.954,2.7076168949819572,23.689582628582773,12.407209204386646,3.8614232905742765,0.15994234778896335,6.625218546478804,0.8201833720154863,0.94,3.0858895889550344,30.75232320483559,13.998269668582827,5.306209891909144,1.2455329685663086,0.394,1.990698745127969,10000.0
89,1,"[89.0, 1.0]",smooth,smooth,6.416860337458492,4.605033444816053,6.416860337458492,2.1840785747848654,0.9,1.1,2.358804860767655,2.1229243746908897,2.594685346844421,2.1229243746908897,0.00921034984663358,500,200,200,10000,7000,3000,1,6.509035785800716,0.6873535856149764,0.95,2.582361936490528,25.729135986464463,13.756407065480145,4.367370435106281,0.17305200414304314,6.508099261193844,0.7972806229093943,0.936,2.9702246142137483,34.07971839612184,15.4083603887684,5.3308018531104295,1.2015833605650066,0.414,1.9907095441629954,10000.0
90,1,"[90.0, 1.0]",smooth,smooth,6.399565768644429,4.980862831858406,6.399565768644429,2.2277601462805627,0.9,1.1,2.3806456465155037,2.1425810818639532,2.618710211167054,2.1425810818639532,0.00921034984663358,500,200,200,10000,7000,3000,1,6.413900782794112,0.6559652115193604,0.918,2.5367406600115596,24.21568064506026,12.311643984863414,4.299339256231182,0.16326830597508954,6.4216991290587115,0.7881522041187103,0.918,2.9300807028534335,32.293345579879556,14.354103176711277,5.263958793091388,1.2455639046698965,0.41,1.9545612862352886,10000.0
91,1,"[91.0, 1.0]",smooth,smooth,6.3827777168034565,nan,6.3827777168034565,2.27144171777626,0.9,1.1,2.2932825035241087,2.0639542531716977,2.5226107538765197,2.0639542531716977,0.00921034984663358,500,200,200,10000,7000,3000,1,6.523362812904355,0.6672909780929172,0.954,2.6170769639764506,23.189509721737974,11.963105489310527,3.9258249066989683,0.15388626823008852,6.5071789512924605,0.775734218341138,0.95,2.9989016676138474,30.585384568904775,13.454026338488305,5.3010642731824165,1.1887797487275826,0.416,1.986213069197138,10000.0
92,1,"[92.0, 1.0]",smooth,smooth,6.366473916996395,nan,6.366473916996395,2.3151232892719573,0.9,1.1,2.336964075019806,2.1032676675178252,2.5706604825217867,2.1032676675178252,0.00921034984663358,500,200,200,10000,7000,3000,1,6.506916021242616,0.6647309703270681,0.954,2.6073694312495155,22.936664538232915,11.806035657700312,3.8933187933191347,0.15194685430411928,6.490687326468784,0.7734106053182271,0.95,2.9897162817721923,30.29176169506154,13.28814616092947,5.3010642731824165,1.1739638094959124,0.422,1.986213069197138,10000.0
93,1,"[93.0, 1.0]",smooth,smooth,6.350633471838758,nan,6.350633471838758,2.3588048607676546,0.9,1.1,2.3806456465155033,2.142581081863953,2.6187102111670537,2.142581081863953,0.00921034984663358,500,200,200,10000,7000,3000,1,6.490886956517175,0.6622213715607813,0.954,2.597898032700896,22.690906677896987,11.652647967315941,3.8621777178784487,0.1502150101218975,6.474614353993109,0.7711422690384947,0.95,2.980785202810239,30.006741484309867,13.12646986761974,5.3010642731824165,1.1596071833351327,0.428,1.986213069197138,10000.0
94,1,"[94.0, 1.0]",smooth,smooth,6.335236742370897,5.029924915445322,6.335236742370897,2.402486432263352,0.9,1.1,2.5335311467504438,2.2801780320753995,2.7868842614254885,2.2801780320753995,0.00921034984663358,500,200,200,10000,7000,3000,1,6.3910839442379945,0.6343619781966263,0.94,2.5138254111829146,22.79690414162867,11.365062673208477,4.082038639656468,0.15869590299035144,6.382941387622889,0.7440868498443367,0.934,2.9122717351348912,30.633832321372925,12.948094666820747,5.267433518709613,1.176655722900705,0.422,1.9474842623719897,10000.0
95,1,"[95.0, 1.0]",smooth,smooth,6.320265248160409,nan,6.320265248160409,2.446168003759049,0.9,1.1,2.468008789506898,2.221207910556208,2.7148096684575878,2.221207910556208,0.00921034984663358,500,200,200,10000,7000,3000,1,6.460006892985951,0.6573475375746799,0.954,2.579635232271872,22.22027937847262,11.357203777044878,3.8038174088672574,0.14729625995927217,6.443649574496299,0.7667632164946444,0.95,2.9636468363034165,29.461919488401712,12.815842079315567,5.3010642731824165,1.132194304998226,0.454,1.986213069197138,10000.0
96,1,"[96.0, 1.0]",smooth,smooth,6.305701577498613,nan,6.305701577498613,2.4898495752547465,0.9,1.1,2.511690361002595,2.2605213249023355,2.7628593971028548,2.2605213249023355,0.00921034984663358,500,200,200,10000,7000,3000,1,6.445121173392748,0.6549804457256662,0.954,2.570830120658832,21.995163771053562,11.215214126312997,3.7765068767403034,0.14607272924922687,6.428723161138736,0.7646486081397451,0.95,2.9554211232641108,29.20176240162905,12.666881353951126,5.3010642731824165,1.1191020642005984,0.462,1.986213069197138,10000.0
97,1,"[97.0, 1.0]",smooth,smooth,6.291529308079702,nan,6.291529308079702,2.5335311467504438,0.9,1.1,2.5553719324982924,2.299834739248463,2.810909125748122,2.299834739248463,0.00921034984663358,500,200,200,10000,7000,3000,1,6.430583589297613,0.6526580562023477,0.958,2.562233715291611,21.77665310985552,11.077049100975657,3.7503802841725373,0.14498383148599053,6.4141460427851,0.7625814883903632,0.95,2.9474128151137666,28.949508561728077,12.522114232668043,5.3010642731824165,1.1063969912415736,0.472,1.986213069197138,10000.0
98,1,"[98.0, 1.0]",smooth,smooth,6.277732934543818,nan,6.277732934543818,2.577212718246141,0.9,1.1,2.5990535039939897,2.3391481535945906,2.858958854393389,2.3391481535945906,0.00921034984663358,500,200,200,10000,7000,3000,1,6.416379291767779,0.6503790300567848,0.958,2.553839636082246,21.564585857354984,10.942685383703598,3.725390434149993,0.1440141219419231,6.399903391649853,0.7605601157406734,0.95,2.939613727673372,28.704943244071863,12.381487745726178,5.3010642731824165,1.0940635223604693,0.482,1.986213069197138,10000.0
99,1,"[99.0, 1.0]",smooth,smooth,6.264297801445153,nan,6.264297801445153,2.6208942897418384,0.9,1.1,2.642735075489687,2.378461567940718,2.907008583038656,2.378461567940718,0.00921034984663358,500,200,200,10000,7000,3000,1,6.402494320406237,0.648142068902878,0.958,2.54564168725404,21.358791487398197,10.812083174535793,3.7014904059866685,0.14314940533564413,6.385981257752117,0.7585828274349584,0.95,2.9320160498551977,28.467843940171047,12.244935281377964,5.3010642731824165,1.0820869405199407,0.49,1.986213069197138,10000.0
100,1,"[100.0, 1.0]",smooth,smooth,6.251210041572009,nan,6.251210041572009,2.6645758612375356,0.9,1.1,2.6864166469853843,2.4177749822868457,2.955058311683923,2.4177749822868457,0.00921034984663358,500,200,200,10000,7000,3000,1,6.388915543700173,0.6459459169814438,0.958,2.5376338552299393,21.159093240891874,10.685189090975163,3.678633911859949,0.14237673339216655,6.3723665109988925,0.7566480376316556,0.948,2.924612324747215,28.237983341982062,12.11237921661486,5.3010642731824165,1.0704533142846424,0.498,1.986213069197138,10000.0
70,2,"[70.0, 2.0]",smooth,smooth,4.200841915640373,3.9294243219597553,4.200841915640373,1.1860992256053164,0.8,1.2,1.397902658749123,1.1183221269992984,1.6774831904989476,1.1183221269992984,0.010117948238625782,500,200,200,10000,7000,3000,1,4.243329274766867,0.4968689298985094,0.906,1.824644109478872,11.716672956323757,7.991198897906522,2.3174471737993607,0.14478211469793317,4.246751370565319,0.5533789597897213,0.908,2.053403030747847,14.68804907978653,8.60748816878986,3.3396206116232667,0.9294930481026147,0.324,1.2913796090230876,10000.0
71,2,"[71.0, 2.0]",smooth,smooth,4.180170525487306,4.034404478323011,4.180170525487306,1.2284599122340778,0.8,1.2,1.3767223154347423,1.101377852347794,1.6520667785216907,1.101377852347794,0.010117948238625782,500,200,200,10000,7000,3000,1,4.282766327217681,0.530895776112537,0.922,1.8899264189877598,11.799257246974127,7.835097361163832,2.227287223368654,0.15221170329186393,4.283822459430241,0.5908093320436448,0.914,2.113882057583895,14.720882096008806,8.55562680260197,3.358887474393153,0.9013629280166788,0.338,1.3224759373543182,10000.0
