dataset,reference,method,internal_methods,n_targets,coverage_mean,coverage_min,coverage_max,bias_mean,abs_bias_mean,rmse_mean,width_mean,coverage_cluster_se_mean,coverage_cluster_se_max
income,matern52_0.8h0,PPCI,"GH_P1_c15,GH_P1_c22",8,0.9329166666666666,0.8933333333333333,0.9733333333333334,0.02456625033141422,0.13881018263547557,0.5137565400072736,1.9050326638097543,0.01305558818768844,0.01963961012123931
income,matern52_0.8h0,LO,"LO_GH_P1_c15w,LO_GH_P1_c22w",8,0.9329166666666666,0.9133333333333333,0.9633333333333334,0.018445241541957667,0.13311641327617502,0.574577609729267,2.150523352971302,0.012908709157096883,0.016808916756878844
income,matern52_0.8h0,PPI,PPI_global,8,0.20208333333333334,0.023333333333333334,0.4033333333333333,-1.1386161840720355,1.1386161840720355,1.1905030890173065,1.3479702577663535,0.02187419327964862,0.036839419880650356
income,matern52_h0,PPCI,"GH_P1_c15,GH_P1_c22",8,0.9429166666666667,0.91,0.9666666666666667,0.22184722987104888,0.22184722987104888,0.5495155422183098,1.9050326638097543,0.013259311870435924,0.0202366946294055
income,matern52_h0,LO,"LO_GH_P1_c15w,LO_GH_P1_c22w",8,0.9375,0.9166666666666666,0.9533333333333334,0.21572622108159228,0.21572622108159228,0.6061784153818173,2.150523352971302,0.013172434479854262,0.017728105208558362
income,matern52_h0,PPI,PPI_global,8,0.3145833333333333,0.07666666666666666,0.53,-0.9413352045324008,0.9413352045324008,1.0037366632920024,1.3479702577663535,0.026919161964453958,0.03581256319421555
income,matern52_1.2h0,PPCI,"GH_P1_c15,GH_P1_c22",8,0.9233333333333333,0.86,0.96,0.39016664727999056,0.39016664727999056,0.6309296385173223,1.9050326638097543,0.015296244641262686,0.027545056883770607
income,matern52_1.2h0,LO,"LO_GH_P1_c15w,LO_GH_P1_c22w",8,0.9241666666666666,0.8733333333333333,0.95,0.38404563849053397,0.38404563849053397,0.680132537872441,2.150523352971302,0.01607252524918759,0.025448360411214066
income,matern52_1.2h0,PPI,PPI_global,8,0.4166666666666667,0.16,0.6166666666666667,-0.7730157871234591,0.7730157871234591,0.8481366577874916,1.3479702577663535,0.027537665612432375,0.03431876713662333
income,gaussian_ess_matched,PPCI,"GH_P1_c15,GH_P1_c22",8,0.94,0.9066666666666666,0.9733333333333334,0.15997059486095214,0.17093481448208792,0.5303896589596725,1.9050326638097543,0.012583403574947551,0.01745743121887939
income,gaussian_ess_matched,LO,"LO_GH_P1_c15w,LO_GH_P1_c22w",8,0.9408333333333334,0.9166666666666666,0.9566666666666667,0.1538495860714956,0.15783860253829735,0.5891801105440806,2.150523352971302,0.012909048280421671,0.016666666666666663
income,gaussian_ess_matched,PPI,PPI_global,8,0.26666666666666666,0.06333333333333334,0.4666666666666667,-1.0032118395424976,1.0032118395424976,1.061825605094225,1.3479702577663535,0.02586560681065678,0.03917806318490789
