reference,n_targets,mean_signed_shift,mean_abs_shift,max_abs_shift,mean_ess,mean_bandwidth_over_h0,mean_abs_shift_over_ppci_width,max_abs_shift_over_ppci_width
matern52_0.8h0,8,0.19728097953963464,0.19728097953963464,0.30158004278516426,135202.01253134076,0.8,0.09810585216887216,0.12835621466802777
matern52_h0,8,0.0,0.0,0.0,153899.8920669208,1.0,0.0,0.0
matern52_1.2h0,8,-0.16831941740894169,0.16831941740894169,0.2688863026756767,165950.38110055262,1.2,0.0848424975758851,0.11444135251389144
gaussian_ess_matched,8,0.061876635010096714,0.061876635010096714,0.08091235439320243,153899.89206692082,0.9559689311055732,0.032844444442468056,0.040067547861236924
