dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift,ppci_width,abs_shift_over_ppci_width
income,1,70,matern52_0.8h0,matern52,1.0833029730932935,0.8,122870.75821224303,7.188573395937842,6.886993353152678,0.30158004278516426,0.30158004278516426,2.3495554427586653,0.12835621466802777
income,1,70,matern52_h0,matern52,1.3541287163666167,1.0,141847.48767048374,6.886993353152678,6.886993353152678,0.0,0.0,2.3495554427586653,0.0
income,1,70,matern52_1.2h0,matern52,1.62495445963994,1.2,155570.1482602345,6.618107050477001,6.886993353152678,-0.2688863026756767,0.2688863026756767,2.3495554427586653,0.11444135251389144
income,1,70,gaussian_ess_matched,gaussian,1.3063915254638891,0.9647469326026735,141847.48767048377,6.967905707545881,6.886993353152678,0.08091235439320243,0.08091235439320243,2.3495554427586653,0.034437303721678275
income,1,80,matern52_0.8h0,matern52,1.432755545058872,0.8,131327.06882351555,6.893165066369206,6.599831460900203,0.29333360546900256,0.29333360546900256,2.302265452112404,0.1274108531663277
income,1,80,matern52_h0,matern52,1.7909444313235898,1.0,150918.87000924035,6.599831460900203,6.599831460900203,0.0,0.0,2.302265452112404,0.0
income,1,80,matern52_1.2h0,matern52,2.1491333175883076,1.2,163541.93475592724,6.355923559158584,6.599831460900203,-0.24390790174161925,0.24390790174161925,2.302265452112404,0.10594256258235805
income,1,80,gaussian_ess_matched,gaussian,1.705477001323852,0.9522780112521004,150918.87000924035,6.678847012855874,6.599831460900203,0.07901555195567056,0.07901555195567056,2.302265452112404,0.03432078255058347
income,1,90,matern52_0.8h0,matern52,1.7822081170244504,0.8,140008.73356508883,6.682100285045718,6.399565768644427,0.2825345164012907,0.2825345164012907,2.239141895519287,0.12617981779835669
income,1,90,matern52_h0,matern52,2.2277601462805627,1.0,158469.0921648563,6.399565768644427,6.399565768644427,0.0,0.0,2.239141895519287,0.0
income,1,90,matern52_1.2h0,matern52,2.673312175536675,1.2,169327.6436215708,6.178683117308365,6.399565768644427,-0.220882651336062,0.220882651336062,2.239141895519287,0.09864611607601417
income,1,90,gaussian_ess_matched,gaussian,2.1102370981966714,0.9472460945671795,158469.09216485632,6.467226432266385,6.399565768644427,0.06766066362195744,0.06766066362195744,2.239141895519287,0.030217229090015316
income,1,100,matern52_0.8h0,matern52,2.1316606889900287,0.8,148060.54192850468,6.519620588412416,6.25121004157201,0.2684105468404061,0.2684105468404061,2.2390803408238695,0.11987535326295816
income,1,100,matern52_h0,matern52,2.6645758612375356,1.0,164455.54681959123,6.25121004157201,6.25121004157201,0.0,0.0,2.2390803408238695,0.0
income,1,100,matern52_1.2h0,matern52,3.1974910334850426,1.2,173496.85874485012,6.051031611429182,6.25121004157201,-0.2001784301428282,0.2001784301428282,2.2390803408238695,0.08940207570630207
income,1,100,gaussian_ess_matched,gaussian,2.5204189437382425,0.9458987377329385,164455.54681959125,6.305922093970513,6.25121004157201,0.05471205239850274,0.05471205239850274,2.2390803408238695,0.024435055500675533
income,2,70,matern52_0.8h0,matern52,0.9488793804842532,0.8,121559.3638180903,4.304554337927573,4.200841915640371,0.10371242228720146,0.10371242228720146,1.5064926832497818,0.06884362827669012
income,2,70,matern52_h0,matern52,1.1860992256053164,1.0,140189.86420850482,4.200841915640371,4.200841915640371,0.0,0.0,1.5064926832497818,0.0
income,2,70,matern52_1.2h0,matern52,1.4233190707263796,1.2,154444.65925256303,4.087704048715876,4.200841915640371,-0.1131378669244949,0.1131378669244949,1.5064926832497818,0.07510017684283452
income,2,70,gaussian_ess_matched,gaussian,1.1562460003914232,0.9748307522933776,140189.86420850482,4.261203383329085,4.200841915640371,0.060361467688713866,0.060361467688713866,1.5064926832497818,0.040067547861236924
income,2,80,matern52_0.8h0,matern52,1.2877648735143437,0.8,130416.30581723845,4.141012257759843,4.034632708558937,0.10637954920090564,0.10637954920090564,1.5344689611479403,0.06932662171369229
income,2,80,matern52_h0,matern52,1.6097060918929296,1.0,150456.9785722679,4.034632708558937,4.034632708558937,0.0,0.0,1.5344689611479403,0.0
income,2,80,matern52_1.2h0,matern52,1.9316473102715155,1.2,164097.36734485708,3.9282583426574877,4.034632708558937,-0.10637436590144933,0.10637436590144933,1.5344689611479403,0.06932324380277487
income,2,80,gaussian_ess_matched,gaussian,1.5453664868900145,0.9600302158717341,150456.97857226795,4.094181902971496,4.034632708558937,0.05954919441255857,0.05954919441255857,1.5344689611479403,0.0388076891226328
income,2,90,matern52_0.8h0,matern52,1.6266503665444345,0.8,139342.32246235615,4.036738055635826,3.926217313455636,0.11052074218019037,0.11052074218019037,1.53508543070223,0.07199647652810585
income,2,90,matern52_h0,matern52,2.033312958180543,1.0,158976.08989908893,3.926217313455636,3.926217313455636,0.0,0.0,1.53508543070223,0.0
income,2,90,matern52_1.2h0,matern52,2.4399755498166513,1.2,171045.24934354154,3.826270645726953,3.926217313455636,-0.0999466677286831,0.0999466677286831,1.53508543070223,0.06510821204456495
income,2,90,gaussian_ess_matched,gaussian,1.9370428825791208,0.9526535867417247,158976.08989908893,3.9775071028030196,3.926217313455636,0.051289789347383596,0.051289789347383596,1.53508543070223,0.033411684015475875
income,2,100,matern52_0.8h0,matern52,1.965535859574525,0.8,148031.00562368907,3.9598460176532657,3.8480696065003497,0.11177641115291603,0.11177641115291603,1.5341711041638573,0.07285785193681873
income,2,100,matern52_h0,matern52,2.456919824468156,1.0,165885.20719133315,3.8480696065003497,3.8480696065003497,0.0,0.0,1.5341711041638573,0.0
income,2,100,matern52_1.2h0,matern52,2.948303789361787,1.2,176079.1874808766,3.7548284536796297,3.8480696065003497,-0.09324115282071999,0.09324115282071999,1.5341711041638573,0.06077624103834076
income,2,100,gaussian_ess_matched,gaussian,2.334238736256026,0.9500671177828578,165885.2071913332,3.889581612763134,3.8480696065003497,0.04151200626278451,0.04151200626278451,1.5341711041638573,0.02705826367744625
