method,n_x0,coverage_mean,coverage_min_x0,coverage_max_x0,coverage_cluster_se_mean,coverage_cluster_se_max,bias_mean,abs_bias_mean,rmse_mean,rmse_max_x0,se_mean,emp_sd_mean,width_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,fallback_rate_mean,h_factor_mean,lambda_factor_mean,bias_score_mean,bias_budget_mean,nw_corr_mean,nw_relative_difference_mean,negative_weight_fraction_mean,M_lambda_over_eigmax_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,width_ratio_vs_GH_P1_c300_mean,rmse_ratio_vs_GH_P1_c300_mean
GH_P1_c300,50,0.95096,0.935,0.963,0.006990186722618388,0.0090350790290525,0.0021449341772765977,0.003167402208258434,0.036609212720530644,0.0421950034419047,0.03678579704970694,0.03634420658053381,0.14420032443485137,0.041784578105815685,0.016806173864075305,0.02533663986485121,0.0,1.0,2747.1368100120926,178.32097063316377,300.0,0.9927308391534408,0.021801479692440454,3.444e-05,11.32954557951869,22.175468684278805,0.006324352109972335,1.1150977863239124,1.0,1.0
LO_GH_P1_c300w,50,0.9481599999999999,0.933,0.963,0.0072328346521107366,0.0090677720414619,0.0023775247779766755,0.0037606013297216408,0.05626548099916758,0.0749552282967557,0.056798879974357196,0.056067240139469385,0.22265160949948037,0.04178662285703309,,,,,,178.32097063316377,300.0,0.9927308391534408,0.021801479692440454,3.444e-05,11.32954557951869,22.175468684278805,0.006226180621702172,1.1149996148356422,1.5423540443910242,1.5361196495061358
PPI_global,50,0.23747999999999997,0.002,0.942,0.012358934348537293,0.0249341991191673,0.11163729796751057,0.11413006832985499,0.1212798001011792,0.1764722840171641,0.03888715128657136,0.0379585748056402,0.15243763304335986,,,,,,,,,,,,,0.0,8.206830536946654e-05,8.206830536946654e-05,1.0587316376556346,3.3529830382305597
