age,sex,x0_raw,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,lambda_1,lambda_2,den_u,R,B_inner,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_f_mean,PPCI_sigma2_f_mean,PPCI_sigma2_Y_minus_f_std,PPCI_sigma2_f_std,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
70,1,"[70.0, 1.0]",smooth,smooth,6.886993353152681,6.580326130653265,6.886993353152681,1.3541287163666167,0.8,1.2,1.4414918593580113,1.1531934874864092,1.7297902312296134,1.1531934874864092,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.47948525969376676,5,200,1000,300,300,10000,10000,10000,1,7.115078782031452,0.6848245009281394,0.942,2.433884505699812,27.66517570054041,4.659718619296869,12.085362398951764,0.20842983418893116,27.66517570054041,4.659718619296869,12.085362398951764,0.20842983418893116,7.135699743409535,0.7632004024710615,0.946,2.76766046071522,35.4077388164856,13.480987378305947,5.277497647037434,1.6640631015303446,0.076,1.6118957912469574,10000.0
71,1,"[71.0, 1.0]",smooth,smooth,6.8526848657641874,7.182903373231774,6.8526848657641874,1.397810287862314,0.8,1.2,1.4851734308537086,1.188138744682967,1.7822081170244501,1.188138744682967,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4772011889902088,5,200,1000,300,300,10000,10000,10000,1,7.099897836098758,0.6791423390722867,0.954,2.479793018184213,28.48150290431591,4.540930876226868,12.51136534120265,0.24332819932144362,28.48150290431591,4.540930876226868,12.51136534120265,0.24332819932144362,7.085354536947332,0.7539620666352105,0.938,2.7996460620605133,36.42560908524595,13.92311462720246,5.283559804030665,1.6247478649362912,0.091,1.631979505520975,10000.0
72,1,"[72.0, 1.0]",smooth,smooth,6.819842917392508,6.945172684458399,6.819842917392508,1.4414918593580113,0.8,1.2,1.5288550023494059,1.2230840018795248,1.834626002819287,1.2230840018795248,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4791112454148732,5,200,1000,300,300,10000,10000,10000,1,7.072637247105955,0.6595657891415728,0.952,2.4344524238399936,27.65380129830538,4.528913419369872,12.175925514502232,0.22586231968047196,27.65380129830538,4.528913419369872,12.175925514502232,0.22586231968047196,7.060300238505623,0.7392787787359599,0.959,2.760716143560166,35.24631890225351,13.467585108431512,5.298795957789016,1.5760491992032568,0.102,1.6155851684713363,10000.0
73,1,"[73.0, 1.0]",smooth,smooth,6.788370014178104,6.659566903684551,6.788370014178104,1.4851734308537086,0.8,1.2,1.5725365738451031,1.2580292590760827,1.8870438886141236,1.2580292590760827,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.48055718345674503,5,200,1000,300,300,10000,10000,10000,1,6.981679803327994,0.670598102658791,0.939,2.3850505812949043,26.83356973747008,4.47818412141669,12.603551623842321,0.18421376423159788,26.83356973747008,4.47818412141669,12.603551623842321,0.18421376423159788,7.0036182583876485,0.7561200497391106,0.936,2.7094598842431004,34.30438896039591,14.049159314550696,5.254747280815832,1.5914611505645302,0.102,1.599186883614663,10000.0
74,1,"[74.0, 1.0]",smooth,smooth,6.758177456728085,7.068258645533142,6.758177456728085,1.5288550023494059,0.8,1.2,1.6162181453408004,1.2929745162726405,1.9394617744089604,1.2929745162726405,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4766863651963586,5,200,1000,300,300,10000,10000,10000,1,6.924592479051679,0.6148040303306064,0.948,2.3810621863521066,26.108757040602377,4.391712796270031,11.347301770911365,0.17686969098403582,26.108757040602377,4.391712796270031,11.347301770911365,0.17686969098403582,6.963777782654936,0.7022877701346958,0.952,2.695076661886961,33.532351617103544,12.721242655209595,5.218256032568814,1.5888001610547726,0.077,1.59796877890517,10000.0
75,1,"[75.0, 1.0]",smooth,smooth,6.729184392914373,6.709554150197628,6.729184392914373,1.5725365738451031,0.8,1.2,1.6598997168364977,1.3279197734691983,1.9918796602037971,1.3279197734691983,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4774794586355995,5,200,1000,300,300,10000,10000,10000,1,6.9661107729370615,0.6557180805867477,0.948,2.40421300061835,26.82350163238961,4.389259246286136,12.038518799453005,0.19401543507663604,26.82350163238961,4.389259246286136,12.038518799453005,0.19401543507663604,6.986984725270788,0.7518414861120728,0.949,2.7157711326199347,34.26722010829838,13.473194835627057,5.292283268007881,1.4961062679118138,0.127,1.623482918362395,10000.0
76,1,"[76.0, 1.0]",smooth,smooth,6.701316969709776,6.826416732438831,6.701316969709776,1.6162181453408004,0.8,1.2,1.703581288332195,1.3628650306657561,2.044297545998634,1.3628650306657561,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.47547375450134244,5,200,1000,300,300,10000,10000,10000,1,6.9612936594123624,0.6961831580131416,0.934,2.4063039274396782,26.703173132485343,4.229708982643176,12.293111867033437,0.18702463362328092,26.703173132485343,4.229708982643176,12.293111867033437,0.18702463362328092,6.983869760596885,0.7856302953186954,0.932,2.708031693818327,33.96186429878434,13.774553989611245,5.279482923078255,1.4888056756850068,0.141,1.6305820731425704,10000.0
77,1,"[77.0, 1.0]",smooth,smooth,6.674507573728135,7.231306406685237,6.674507573728135,1.6598997168364977,0.8,1.2,1.7472628598278923,1.397810287862314,2.096715431793471,1.397810287862314,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4781532530710738,5,200,1000,300,300,10000,10000,10000,1,6.885603707792102,0.6603116423760729,0.936,2.371164103951534,26.173301593353735,4.208564756731668,11.76232541541324,0.18805912661732907,26.173301593353735,4.208564756731668,11.76232541541324,0.18805912661732907,6.918363692016411,0.7533526557196933,0.935,2.6995648722170165,33.54735831753469,13.249063128494132,5.274415000394141,1.466167117580266,0.147,1.6286465316244618,10000.0
78,1,"[78.0, 1.0]",smooth,smooth,6.648694160441112,6.0484971644612475,6.648694160441112,1.7035812883321952,0.8,1.2,1.7909444313235898,1.432755545058872,2.1491333175883076,1.432755545058872,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4755326480940235,5,200,1000,300,300,10000,10000,10000,1,6.922331348025982,0.6677969483900046,0.944,2.366076191154597,25.716949262063483,4.179092582340351,11.267537763890939,0.14923054660667512,25.716949262063483,4.179092582340351,11.267537763890939,0.14923054660667512,6.894161656201918,0.7298498035828686,0.952,2.6757907352425048,32.83324007278649,12.492354672544348,5.314076782684371,1.3986117918725383,0.166,1.623366132671735,10000.0
79,1,"[79.0, 1.0]",smooth,smooth,6.623819661164262,5.987001051524711,6.623819661164262,1.7472628598278925,0.8,1.2,1.8346260028192871,1.4677008022554299,2.2015512033831444,1.4677008022554299,0.006745298825750516,0.006745298825750516,0.006745298825750516,0.4730122043439321,5,200,1000,300,300,10000,10000,10000,1,6.920667514720856,0.7080181930507318,0.94,2.3902916746707894,26.06934373617412,4.101572942581623,11.980240697086662,0.16358970907052134,26.06934373617412,4.101572942581623,11.980240697086662,0.16358970907052134,6.929277243063172,0.7787713939861227,0.942,2.697024281690814,33.23094141949944,13.335175303628267,5.316124792230989,1.3759332788345298,0.177,1.6408248728073438,10000.0
