sex,age,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,gh_gamma_eff_mean,edge_score_mean,pc_ratio_mean,fallback_rate,width_ratio_vs_GH_P1_c22,rmse_ratio_vs_GH_P1_c22,width_ratio_vs_GH_P1_c15,rmse_ratio_vs_GH_P1_c15,theta0,dataset,reference,method_family,bias_rescored,rmse_rescored
1,70,GH_P1_c22,1000,50,0.94,0.0071428571428571,0.0505076272276105,0.0179118415475018,0.0179118415475018,0.5793524836933639,0.5952454614204827,2.333362208768292,0.5793652823775955,6.886993353152679,6.904905194700183,28.92833483816323,22.498863787885814,3.677524948252014,398.1071705534972,1.3999999999999997,4423.92,21.2463828033797,21.57275917059151,21.57275917059151,22.0,0.3821157885682916,0.7321382000421006,20.535295955299507,0.0,1.0,1.0,,,7.188573395937842,income,matern52_0.8h0,PPCI,-0.283668201237659,0.6448225451141233
1,70,LO_GH_P1_c22w,1000,50,0.938,0.0077670155537532,0.0549210936764031,0.0140765344272858,0.0140765344272858,0.6636972572275986,0.6758754794075995,2.6494318792777904,0.663879986945699,6.886993353152679,6.901069887579967,28.9192641812038,,,,,4423.92,21.2463828033797,21.57275917059151,21.57275917059151,22.0,0.3821157885682916,0.7321382000421006,20.535295955299507,,1.135456753915776,1.1455845550131036,,,7.188573395937842,income,matern52_0.8h0,LO,-0.28750350835787497,0.7231557009026764
1,70,PPI_global,1000,50,0.074,0.0083592793361873,0.0591090310445062,-1.600139067351629,1.600139067351629,1.6494561920003006,0.4144192964925353,1.6245236422507383,0.4005260485645975,6.886993353152679,5.286854285801051,,,,,,,,,,,,,,,0.6962158023071235,2.8470684745926014,,,7.188573395937842,income,matern52_0.8h0,PPI,-1.9017191101367912,1.9433981239886644
1,71,GH_P1_c22,1000,50,0.916,0.007618452357699,0.0538705932427565,0.000569465908348,0.000569465908348,0.6102718172982791,0.5893488026414112,2.310247306354332,0.6105769164224859,6.85268486576419,6.853254331672539,28.47602925675125,22.10209232127741,3.673626132163306,396.469582462764,1.3999999999999997,4438.93,22.409543032386825,21.6711852574393,21.6711852574393,22.0,0.3821157885682916,0.7460782462710934,20.29727075999544,0.0,1.0,1.0,,,7.153436818494457,income,matern52_0.8h0,PPCI,-0.3001824868219183,0.6801035892360181
1,71,LO_GH_P1_c22w,1000,50,0.924,0.0065838392124588,0.0465547735337152,-0.0023267956198802,0.0023267956198802,0.6959902195250394,0.6703253329736535,2.627675305256722,0.6963345844852215,6.85268486576419,6.85035807014431,28.46676047033637,,,,,4438.93,22.409543032386825,21.6711852574393,21.6711852574393,22.0,0.3821157885682916,0.7460782462710934,20.29727075999544,,1.1374000082282556,1.1404593818640394,,,7.153436818494457,income,matern52_0.8h0,LO,-0.30307874835014736,0.7591137591943303
1,71,PPI_global,1000,50,0.074,0.0083592793361873,0.0591090310445062,-1.5868705901680935,1.5868705901680935,1.6409198479076372,0.4109109854848167,1.6107710631004817,0.4178927034878894,6.85268486576419,5.265814275596096,,,,,,,,,,,,,,,0.6972288458772609,2.6888343872278377,,,7.153436818494457,income,matern52_0.8h0,PPI,-1.8876225428983613,1.9332818060942032
1,72,GH_P1_c22,1000,50,0.939,0.0083653805554042,0.0591521731793239,0.0495707462831905,0.0495707462831905,0.594429449608603,0.5894002241803353,2.310448878786914,0.5926553399969844,6.819842917392506,6.869413663675697,29.628511432269725,22.96141618942336,3.834951831264168,380.9124956007988,1.3999999999999997,4459.18,23.44498654600419,21.09015609144444,21.09015609144444,22.0,0.3821157885682916,0.759478254155125,19.821902416688825,0.0,1.0,1.0,,,7.119787103468729,income,matern52_0.8h0,PPCI,-0.25037343979303195,0.6430987257246815
1,72,LO_GH_P1_c22w,1000,50,0.932,0.0083004794550479,0.0586932530976403,0.0525484266783418,0.0525484266783418,0.6682648289549591,0.6730461178032893,2.638340781788894,0.6665289230611892,6.819842917392506,6.872391344070848,29.61859098813773,,,,,4459.18,23.44498654600419,21.09015609144444,21.09015609144444,22.0,0.3821157885682916,0.759478254155125,19.821902416688825,,1.141916969473974,1.124212182614728,,,7.119787103468729,income,matern52_0.8h0,LO,-0.2473957593978815,0.7106484406792757
1,72,PPI_global,1000,50,0.09,0.0097937922862872,0.0692525693916618,-1.5338662066230837,1.5338662066230837,1.587523295859909,0.4137927018608471,1.6220673912945207,0.4094536938470871,6.819842917392506,5.285976710769423,,,,,,,,,,,,,,,0.7020572522453631,2.6706673044298195,,,7.119787103468729,income,matern52_0.8h0,PPI,-1.8338103926993066,1.8789212946394545
1,73,GH_P1_c22,1000,50,0.938,0.007222414091294,0.0510701798049127,0.1124841150860924,0.1124841150860924,0.629408730285619,0.5985471879734107,2.3463049768557696,0.619585797265582,6.7883700141781,6.900854129264196,34.576612293661825,26.94573651988432,4.468348123102062,329.3284707427035,1.3999999999999997,4474.7,23.50473662874144,18.82184115032612,18.82184115032612,22.0,0.3821157885682916,0.7716923337801073,19.082059829690383,0.0,1.0,1.0,,,7.087517792054701,income,matern52_0.8h0,PPCI,-0.1866636627905054,0.6467967197036648
1,73,LO_GH_P1_c22w,1000,50,0.948,0.0060541771715477,0.0428094973250619,0.1116216364494864,0.1116216364494864,0.7150278895773133,0.6811673537857523,2.670176026840149,0.7066150281077193,6.7883700141781,6.899991650627589,34.56318355045963,,,,,4474.7,23.50473662874144,18.82184115032612,18.82184115032612,22.0,0.3821157885682916,0.7716923337801073,19.082059829690383,,1.1380345066728672,1.1360310958077136,,,7.087517792054701,income,matern52_0.8h0,LO,-0.18752614142711188,0.7307335676347887
1,73,PPI_global,1000,50,0.098,0.0093634112046708,0.0662093155786083,-1.518723095337574,1.518723095337574,1.577284982083946,0.4114848826402189,1.613020739949658,0.4260159198431102,6.7883700141781,5.269646918840528,,,,,,,,,,,,,,,0.6874727522042897,2.505978875393404,,,7.087517792054701,income,matern52_0.8h0,PPI,-1.817870873214173,1.8670732674633503
1,74,GH_P1_c22,1000,50,0.944,0.0069458547320818,0.0491146098219173,0.1244319662515631,0.1244319662515631,0.6083605116628676,0.5914610091356042,2.318527155811568,0.5957970897021684,6.758177456728083,6.882609422979647,34.64101796076857,26.963452704649686,4.556536732905179,317.0465600622046,1.3999999999999997,4492.59,24.548484435450696,18.428855132858,18.428855132858,22.0,0.3821157885682916,0.7836682222672868,18.61924114489348,0.0,1.0,1.0,,,7.056532194295672,income,matern52_0.8h0,PPCI,-0.17392277131602452,0.6203775691526269
