dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift
income,1,70,matern52_0.8h0,matern52,1.0833029730932935,0.8,122870.75821224303,7.188573395937842,6.886993353152678,0.30158004278516426,0.30158004278516426
income,1,70,matern52_h0,matern52,1.3541287163666167,1.0,141847.48767048374,6.886993353152678,6.886993353152678,0.0,0.0
income,1,70,matern52_1.2h0,matern52,1.62495445963994,1.2,155570.1482602345,6.618107050477001,6.886993353152678,-0.2688863026756767,0.2688863026756767
income,1,70,gaussian_ess_matched,gaussian,1.3063915254638891,0.9647469326026735,141847.48767048377,6.967905707545881,6.886993353152678,0.08091235439320243,0.08091235439320243
income,1,71,matern52_0.8h0,matern52,1.1182482302898513,0.8,123718.61636909966,7.153436818494457,6.85268486576419,0.3007519527302671,0.3007519527302671
income,1,71,matern52_h0,matern52,1.397810287862314,1.0,142835.22156874408,6.85268486576419,6.85268486576419,0.0,0.0
income,1,71,matern52_1.2h0,matern52,1.6773723454347766,1.2,156494.3359532835,6.586370468653638,6.85268486576419,-0.26631439711055194,0.26631439711055194
income,1,71,gaussian_ess_matched,gaussian,1.3462072355752224,0.9630829356922185,142835.22156874413,6.934030555873068,6.85268486576419,0.08134569010887827,0.08134569010887827
income,1,72,matern52_0.8h0,matern52,1.1531934874864092,0.8,124558.20142184339,7.119787103468729,6.819842917392506,0.29994418607622286,0.29994418607622286
income,1,72,matern52_h0,matern52,1.4414918593580113,1.0,143800.44211941838,6.819842917392506,6.819842917392506,0.0,0.0
income,1,72,matern52_1.2h0,matern52,1.7297902312296134,1.2,157385.25647845503,6.556085357256946,6.819842917392506,-0.2637575601355602,0.2637575601355602
income,1,72,gaussian_ess_matched,gaussian,1.3860099148228013,0.9615107472338279,143800.44211941838,6.901482813218666,6.819842917392506,0.08163989582615994,0.08163989582615994
income,1,73,matern52_0.8h0,matern52,1.188138744682967,0.8,125394.1082905673,7.087517792054701,6.788370014178103,0.2991477778765983,0.2991477778765983
income,1,73,matern52_h0,matern52,1.4851734308537086,1.0,144745.89654094644,6.788370014178103,6.788370014178103,0.0,0.0
income,1,73,matern52_1.2h0,matern52,1.7822081170244501,1.2,158245.4917244584,6.527153687404221,6.788370014178103,-0.26121632677388185,0.26121632677388185
income,1,73,gaussian_ess_matched,gaussian,1.4258157119655364,0.9600331397969784,144745.89654094647,6.870160097129707,6.788370014178103,0.0817900829516045,0.0817900829516045
income,1,74,matern52_0.8h0,matern52,1.2230840018795248,0.8,126229.7697205521,7.056532194295672,6.758177456728086,0.29835473756758546,0.29835473756758546
income,1,74,matern52_h0,matern52,1.5288550023494059,1.0,145673.58730339326,6.758177456728086,6.758177456728086,0.0,0.0
income,1,74,matern52_1.2h0,matern52,1.834626002819287,1.2,159077.11332312928,6.499486256614792,6.758177456728086,-0.2586912001132946,0.2586912001132946
income,1,74,gaussian_ess_matched,gaussian,1.4656386248411293,0.9586511622023466,145673.5873033933,6.839972436978485,6.758177456728086,0.08179498025039855,0.08179498025039855
income,1,75,matern52_0.8h0,matern52,1.2580292590760827,0.8,127067.64620206758,7.026742441111072,6.729184392914373,0.2975580481966986,0.2975580481966986
income,1,75,matern52_h0,matern52,1.5725365738451031,1.0,146584.92711584884,6.729184392914373,6.729184392914373,0.0,0.0
income,1,75,matern52_1.2h0,matern52,1.8870438886141236,1.2,159881.7962811534,6.473001705084577,6.729184392914373,-0.2561826878297957,0.2561826878297957
income,1,75,gaussian_ess_matched,gaussian,1.5054905910543648,0.9573644366014329,146584.9271158489,6.810840720780468,6.729184392914373,0.08165632786609489,0.08165632786609489
income,1,76,matern52_0.8h0,matern52,1.2929745162726405,0.8,127909.38967384497,6.998068586540379,6.701316969709773,0.2967516168306057,0.2967516168306057
income,1,76,matern52_h0,matern52,1.6162181453408004,1.0,147480.86705996163,6.701316969709773,6.701316969709773,0.0,0.0
income,1,76,matern52_1.2h0,matern52,1.9394617744089604,1.2,160660.9094719658,6.447625654780669,6.701316969709773,-0.253691314929104,0.253691314929104
income,1,76,gaussian_ess_matched,gaussian,1.545381615481955,0.9561714301605564,147480.8670599617,6.782695282540459,6.701316969709773,0.08137831283068575,0.08137831283068575
income,1,77,matern52_0.8h0,matern52,1.3279197734691983,0.8,128755.98324799775,6.970437755652658,6.674507573728134,0.2959301819245246,0.2959301819245246
income,1,77,matern52_h0,matern52,1.6598997168364977,1.0,148362.0017123476,6.674507573728134,6.674507573728134,0.0,0.0
income,1,77,matern52_1.2h0,matern52,1.9918796602037971,1.2,161415.5872345728,6.423289954795654,6.674507573728134,-0.25121761893247996,0.25121761893247996
income,1,77,gaussian_ess_matched,gaussian,1.5853199137053946,0.9550696934431435,148362.00171234764,6.755474642644256,6.674507573728134,0.08096706891612193,0.08096706891612193
income,1,78,matern52_0.8h0,matern52,1.3628650306657564,0.8000000000000002,129607.86106711227,6.9437833741243,6.648694160441111,0.2950892136831893,0.2950892136831893
income,1,78,matern52_h0,matern52,1.7035812883321952,1.0,149228.65514327076,6.648694160441111,6.648694160441111,0.0,0.0
income,1,78,matern52_1.2h0,matern52,2.044297545998634,1.2,162146.78576856668,6.399932021581311,6.648694160441111,-0.24876213885980025,0.24876213885980025
income,1,78,gaussian_ess_matched,gaussian,1.6253120644147192,0.9540560673837281,149228.65514327082,6.7291243928749624,6.648694160441111,0.0804302324338515,0.0804302324338515
income,1,79,matern52_0.8h0,matern52,1.3978102878623142,0.8000000000000002,130465.01194466687,6.918044472485533,6.623819661164262,0.29422481132127043,0.29422481132127043
income,1,79,matern52_h0,matern52,1.7472628598278925,1.0,150080.95111694038,6.623819661164262,6.623819661164262,0.0,0.0
income,1,79,matern52_1.2h0,matern52,2.096715431793471,1.2,162855.32735205165,6.37749426060979,6.623819661164262,-0.24632540055447194,0.24632540055447194
income,1,79,gaussian_ess_matched,gaussian,1.6653631674626919,0.9531268624497244,150080.95111694044,6.703596213361562,6.623819661164262,0.07977655219730018,0.07977655219730018
income,1,80,matern52_0.8h0,matern52,1.432755545058872,0.8,131327.06882351555,6.893165066369206,6.599831460900203,0.29333360546900256,0.29333360546900256
income,1,80,matern52_h0,matern52,1.7909444313235898,1.0,150918.87000924035,6.599831460900203,6.599831460900203,0.0,0.0
income,1,80,matern52_1.2h0,matern52,2.1491333175883076,1.2,163541.93475592724,6.355923559158584,6.599831460900203,-0.24390790174161925,0.24390790174161925
income,1,80,gaussian_ess_matched,gaussian,1.705477001323852,0.9522780112521004,150918.87000924035,6.678847012855874,6.599831460900203,0.07901555195567056,0.07901555195567056
income,1,81,matern52_0.8h0,matern52,1.4677008022554299,0.8,132193.38612757134,6.869093657605527,6.576680952449955,0.29241270515557183,0.29241270515557183
income,1,81,matern52_h0,matern52,1.8346260028192871,1.0,151742.29467328102,6.576680952449955,6.576680952449955,0.0,0.0
income,1,81,matern52_1.2h0,matern52,2.2015512033831444,1.2,164207.25782346155,6.335170845415267,6.576680952449955,-0.24151010703468767,0.24151010703468767
income,1,81,gaussian_ess_matched,gaussian,1.7456561773595392,0.9515051976135588,151742.29467328102,6.654838180208647,6.576680952449955,0.07815722775869194,0.07815722775869194
income,1,82,matern52_0.8h0,matern52,1.5026460594519877,0.8,133063.10650370453,6.845782836729963,6.554323155487662,0.29145968124230137,0.29145968124230137
