x0_1,x0_2,x0_3,tau,theta0,sigma_eps,sigma_A,bias_strength,c_smooth,smooth_var,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,PPCI_H_hat_mean,PPCI_H_hat_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,LO_H_hat_mean,LO_H_hat_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width
0.7,0.7,0.7,0.5,-1.369943006365065,2.0,1.2,0.2,0.8,False,0.01,0.1,2.0694743066278827,0.020694743066278828,0.20694743066278828,0.2069474306627883,0.004248767179543223,500,200,200,7000,5000,2000,-1.1536084898166556,0.6061358573241886,0.916,2.9683526739088344,1.5941605350109848e-05,2.737707875361365e-05,2.9106458824766564e-05,6.0651875104676585e-06,-0.00035374189216663964,0.0001014998119473762,-1.1060377380944735,0.8991841052839786,0.968,4.211761387177924,2.7285579631231403e-05,1.971624988224558e-05,-0.0003637050864248102,0.00018512933180211592,-0.016869447558823792,1.3617684284038398,0.0,0.6742209916179431
0.7,0.7,0.7166666666666667,0.5,-1.380779440140526,2.0,1.2,0.2,0.8,False,0.01,0.1,2.080077315825993,0.02080077315825993,0.20800773158259933,0.20800773158259933,0.004248767179543223,500,200,200,7000,5000,2000,-1.2311681451886716,0.6397404271369942,0.918,3.072578672523505,1.6364037325386035e-05,2.787091491940357e-05,2.7409920374506945e-05,6.605125888075701e-06,-0.0003620425156824741,0.00010809457375466768,-1.1857219326198456,0.8655445168122844,0.97,4.065317109215474,2.7930553846486738e-05,1.9848512378256136e-05,-0.00037196561197532673,0.0001745469616163202,-0.020701873541155123,1.3698496334617116,0.0,0.7017595368914913
0.7,0.7,0.7333333333333333,0.5,-1.387329157994313,2.0,1.2,0.2,0.8,False,0.01,0.1,2.095776722120691,0.020957767221206913,0.20957767221206913,0.20957767221206913,0.004248767179543223,500,200,200,7000,5000,2000,-1.1872603976709797,0.625721474791387,0.914,2.973028871176006,1.6041144135324188e-05,2.84972686387705e-05,2.950607515482069e-05,6.592329894539896e-06,-0.0003666159285329883,0.00010495050117822192,-1.2234741250162637,0.8463642132859871,0.966,3.95530620300367,2.8987626430429958e-05,2.1087469978113406e-05,-0.0003844550601571528,0.00017230177995050804,-0.010887952008970886,1.3863063640298707,0.0,0.6796884793858985
0.7,0.7,0.75,0.5,-1.3895203998470036,2.0,1.2,0.2,0.8,False,0.01,0.1,2.099322411393416,0.020993224113934162,0.2099322411393416,0.2099322411393416,0.004248767179543223,500,200,200,7000,5000,2000,-1.2361860004981868,0.5892842198257896,0.908,2.9568477462250367,1.603400933271297e-05,2.7673384562683334e-05,2.7852764607907208e-05,6.015120801723716e-06,-0.00035715989534488153,9.87782679909882e-05,-1.1972838769349408,0.9194697120950281,0.966,4.072361408474949,2.845083371792455e-05,2.063688243457113e-05,-0.0003697428630174556,0.00017139158723442364,-0.027688398381930497,1.3724338081142398,0.0,0.6922316697588232
0.7,0.7,0.7666666666666666,0.5,-1.387329157994313,2.0,1.2,0.2,0.8,False,0.01,0.1,2.114930382983127,0.02114930382983127,0.21149303829831273,0.21149303829831273,0.004248767179543223,500,200,200,7000,5000,2000,-1.1798940956423092,0.5605607193016106,0.934,2.9643970402487176,1.5415931858178086e-05,2.774085485472118e-05,2.4843250121943233e-05,5.803304744307764e-06,-0.0003623193906090886,9.868871807004878e-05,-1.1550190177497277,0.8397284471203065,0.966,4.026564583108603,2.7379916288288906e-05,1.8104703249881995e-05,-0.0003714946746241642,0.00015625077843214115,-0.02310755830263134,1.3738091669994967,0.0,0.6736690289700719
0.7,0.7,0.7833333333333333,0.5,-1.380779440140526,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1421778880846327,0.02142177888084633,0.2142177888084633,0.2142177888084633,0.004451075427225196,500,200,200,7000,5000,2000,-1.3020945894328175,0.5963272158786833,0.904,3.072820519863001,1.7534560010692758e-05,2.7157074004286956e-05,3.048287625246304e-05,5.840804698466307e-06,-0.0003659887775037399,9.94116634553128e-05,-1.2160236391894879,0.8350412095251756,0.96,3.9173439000923755,2.768169351447122e-05,1.87389726059084e-05,-0.0003820144855959219,0.00018080844936592012,-0.007923884382909646,1.382679582791274,0.0,0.6770392846540828
0.7,0.7,0.7999999999999999,0.5,-1.369943006365065,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1742833006504565,0.021742833006504564,0.21742833006504567,0.2174283300650457,0.004451075427225196,500,200,200,7000,5000,2000,-1.2229730555551759,0.6016811772650981,0.936,3.6912769544657182,1.907617618371192e-05,2.8497258397004973e-05,2.9513118591887684e-05,6.064118064549903e-06,-0.00037292995422788977,0.00010257396710534888,-1.191286160279771,0.8342368795883038,0.972,4.008322018073558,2.7990252626990942e-05,1.657597066866825e-05,-0.00038790355136617623,0.00016897505059520937,-0.02008616650664824,1.3601802453792056,0.0,0.6765210743915417
0.7,0.7,0.8166666666666667,0.5,-1.3549385829040441,2.0,1.2,0.2,0.8,False,0.01,0.1,2.201351024300732,0.02201351024300732,0.2201351024300732,0.22013510243007317,0.004451075427225196,500,200,200,7000,5000,2000,-1.1927807815509428,0.6056485004574144,0.92,2.9300612387411165,1.981251362137676e-05,2.97522116737265e-05,3.0388984243675685e-05,5.871543588766926e-06,-0.00040257995384254376,0.00011125184822020319,-1.1756904466762925,0.793321124754042,0.97,3.8333232925783984,3.122811458838753e-05,1.9020785553258057e-05,-0.000418047967979383,0.0001788080424591963,-0.008731032874322609,1.3571031843034251,0.0,0.6880933289322995
0.7,0.7,0.8333333333333333,0.5,-1.3359305613607793,2.0,1.2,0.2,0.8,False,0.01,0.1,2.217171031867226,0.022171710318672263,0.22171710318672264,0.2217171031867226,0.004451075427225196,500,200,200,7000,5000,2000,-1.162947063066175,0.5974603349227351,0.912,2.8955385436818943,1.783006169624983e-05,2.9420587705847434e-05,2.920732003855888e-05,6.005396246701322e-06,-0.0003964651299581966,0.00011625579634915478,-1.211421383397766,0.8111709346897682,0.962,3.8957061603259078,2.8987767791633456e-05,1.8637866336654963e-05,-0.00039954841768521715,0.00017906771546373888,-0.02127407803723108,1.32460604543607,0.0,0.6888093618109976
0.7,0.7,0.85,0.5,-1.3131271975969827,2.0,1.2,0.2,0.8,False,0.01,0.1,2.243393720653697,0.02243393720653697,0.2243393720653697,0.2243393720653697,0.004451075427225196,500,200,200,7000,5000,2000,-1.1279987414598531,0.5345939883183254,0.93,2.964217593597114,1.7978091551577445e-05,3.012050771045157e-05,2.8883497277238726e-05,5.770881202656176e-06,-0.0003903153547072581,0.00010378923898025738,-1.1796061283316783,0.7854798782959588,0.988,3.9413411199018955,2.835045064682662e-05,1.6884678158026205e-05,-0.00039170772727346474,0.00016753613197709497,-0.012788237613999325,1.3114314967710978,0.0,0.6810398708252279
0.7,0.7166666666666667,0.7,0.5,-1.3312261373038705,2.0,1.2,0.2,0.8,False,0.01,0.1,2.0821360300847536,0.020821360300847535,0.20821360300847536,0.20821360300847538,0.004248767179543223,500,200,200,7000,5000,2000,-1.156784191011915,0.5972923837389275,0.92,3.2395105705700162,1.551199658772139e-05,2.9271835384331336e-05,2.989036637858453e-05,6.93828195688957e-06,-0.00035549887082250085,0.00010692350959302024,-1.0988495038953097,0.9172872890414935,0.956,4.162126917194482,2.8123972660092332e-05,2.047644529223717e-05,-0.0003621254773532746,0.0001715254512715924,-0.018185607937454384,1.3235156506540253,0.0,0.6711032646428163
0.7,0.7166666666666667,0.7166666666666667,0.5,-1.3420625710793312,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1091544174950903,0.0210915441749509,0.21091544174950905,0.21091544174950902,0.004248767179543223,500,200,200,7000,5000,2000,-1.1997114017174701,0.6211370112560398,0.908,3.273947135739532,1.991361811537007e-05,3.151924791459021e-05,3.691817351996728e-05,7.037064353718648e-06,-0.0003819324119614175,0.00011730077101647162,-1.1872336853151841,0.8598778320151896,0.982,4.0825163380929865,3.1464424619813746e-05,2.2252599336449803e-05,-0.00039447248121145874,0.00018728867960060645,-0.014189114402181398,1.3381677973787431,0.0,0.6819740123650886
0.7,0.7166666666666667,0.7333333333333333,0.5,-1.3486122889331185,2.0,1.2,0.2,0.8,False,0.01,0.1,2.124687438863115,0.02124687438863115,0.2124687438863115,0.21246874388631154,0.004248767179543223,500,200,200,7000,5000,2000,-1.12850188182806,0.5949939045765328,0.916,2.852601882662409,1.658649656890749e-05,3.240717370272502e-05,2.9418645929917188e-05,7.1619923472683295e-06,-0.0003874478913992551,0.0001121446072337628,-1.1742827446908197,0.8491939126693346,0.976,4.06187859147532,3.1442326553438846e-05,2.3416561655751924e-05,-0.0003936732718049221,0.0001958854634978663,-0.007982886612992767,1.3508664353455826,0.0,0.6738100078361383
0.7,0.7166666666666667,0.75,0.5,-1.350803530785809,2.0,1.2,0.2,0.8,False,0.01,0.1,2.134397199697553,0.02134397199697553,0.2134397199697553,0.21343971996975528,0.004248767179543223,500,200,200,7000,5000,2000,-1.23744662897746,0.5754136365157242,0.914,3.1437360509836862,2.048764792871647e-05,3.25843008690921e-05,3.775111349335769e-05,7.2476346906436545e-06,-0.000391443508242179,0.00010844554401512033,-1.2325010844032838,0.8035416954921099,0.976,4.025739172958485,3.461778181386428e-05,2.499357111121249e-05,-0.000410706376596754,0.00019107097243028907,-0.01609035894705775,1.3446824618618063,0.0,0.6874079271533867
0.7,0.7166666666666667,0.7666666666666666,0.5,-1.3486122889331185,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1501839932980786,0.021501839932980788,0.21501839932980787,0.21501839932980785,0.004451075427225196,500,200,200,7000,5000,2000,-1.1840870138850346,0.556546673302448,0.928,2.9521792486129863,1.861358765870932e-05,3.112979719006268e-05,3.232090103232637e-05,6.592404184519578e-06,-0.0003917411255997835,0.0001170775380268668,-1.1720345762957445,0.8518380657137302,0.962,3.8955712513077922,3.08469342334335e-05,2.1587240385420626e-05,-0.0004067647033748498,0.00019292574971442188,-0.0012115439506827262,1.3570601112735148,0.0,0.6757994517171959
0.7,0.7166666666666667,0.7833333333333333,0.5,-1.3420625710793312,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1584818299807624,0.021584818299807625,0.21584818299807626,0.21584818299807626,0.004451075427225196,500,200,200,7000,5000,2000,-1.135000711263831,0.5989004570502017,0.91,3.0038757736177533,1.8228944792436003e-05,3.045172316655989e-05,3.0611720738565986e-05,6.553166291138202e-06,-0.00038313953956311387,0.00010942880641597707,-1.2168997971348743,0.8468703146753844,0.974,3.997719057760955,3.087046090632924e-05,1.970222244907336e-05,-0.000398907718563149,0.00017018010800869961,-0.01531990622972624,1.336515997679237,0.0,0.699021191611015
0.7,0.7166666666666667,0.7999999999999999,0.5,-1.3312261373038705,2.0,1.2,0.2,0.8,False,0.01,0.1,2.190905006348765,0.02190905006348765,0.2190905006348765,0.2190905006348765,0.004451075427225196,500,200,200,7000,5000,2000,-1.1330532580989054,0.6075288152109384,0.93,3.10594381261717,2.0452621883834495e-05,3.22634328739173e-05,3.498361456168728e-05,6.5085467653127785e-06,-0.00039892109960312794,0.00011139266803694067,-1.1548382005845508,0.8336442924002412,0.97,3.9688999032281025,3.194074467373042e-05,2.0940255569050124e-05,-0.00041066135555876455,0.00018112835366770362,-0.011629853313932317,1.3312480098762554,0.0,0.6816792520223285
0.7,0.7166666666666667,0.8166666666666667,0.5,-1.3162217138428494,2.0,1.2,0.2,0.8,False,0.01,0.1,2.2132638737426475,0.022132638737426477,0.22132638737426477,0.22132638737426477,0.004451075427225196,500,200,200,7000,5000,2000,-1.138055638272002,0.5971210083124253,0.926,2.8292426018630223,1.8690659964158605e-05,3.352619807790206e-05,3.053963346731507e-05,6.782307929515034e-06,-0.0004178812800100874,0.00011639344887965477,-1.1047232741049247,0.8411512704044272,0.978,3.835438029595301,3.310012887798522e-05,2.294183048826051e-05,-0.00042343455966630737,0.0001942967414900232,-0.012068679077533851,1.3137347234618038,0.0,0.6912154047729078
0.7,0.7166666666666667,0.8333333333333333,0.5,-1.2972136922995845,2.0,1.2,0.2,0.8,False,0.01,0.1,2.229329193754854,0.02229329193754854,0.2229329193754854,0.2229329193754854,0.004451075427225196,500,200,200,7000,5000,2000,-1.0869729080344805,0.6197534519033503,0.918,2.9121714370132197,1.9880579350148536e-05,3.361331883191888e-05,3.472511265035724e-05,6.715074905477309e-06,-0.0004124845728014951,0.00011218448876331335,-1.115975919675098,0.8515160132410371,0.954,3.8324264601935827,3.4106307032683845e-05,2.2166213561719965e-05,-0.00043060401557997406,0.0001840526334370822,-0.008357748005686883,1.2994055354126108,0.0,0.6780571633478827
0.7,0.7166666666666667,0.85,0.5,-1.274410328535788,2.0,1.2,0.2,0.8,False,0.01,0.1,2.258914276109949,0.022589142761099492,0.2258914276109949,0.2258914276109949,0.004451075427225196,500,200,200,7000,5000,2000,-1.1052464541565579,0.5800439095655,0.922,2.8856638380428095,2.1406390349590045e-05,3.523516897023396e-05,3.2520601250541454e-05,7.088345114207897e-06,-0.00043175840761335336,0.00012266194494963735,-1.0189986041711843,0.8112304902179129,0.972,3.776515462594134,3.5447520232843235e-05,2.2129071481803208e-05,-0.0004446753629757185,0.0001878519502909995,-0.017233966846153647,1.2669509086349309,0.0,0.6735562560409819
0.7,0.7333333333333333,0.7,0.5,-1.292512040004857,2.0,1.2,0.2,0.8,False,0.01,0.1,2.0975330944580337,0.020975330944580338,0.2097533094458034,0.2097533094458034,0.004248767179543223,500,200,200,7000,5000,2000,-1.1276257582288012,0.6137754402279406,0.924,3.024861511241049,1.7209949012662617e-05,3.05315268639443e-05,3.195490291034716e-05,6.681753135838846e-06,-0.00037322313889037083,9.96141583383389e-05,-1.2668962254759324,0.8393541390201202,0.968,4.081696290088896,3.009984936587839e-05,2.1780000973564364e-05,-0.0003780162561080757,0.00017419259841226472,-0.020928019279395364,1.2826106293126744,0.0,0.6983696177333492
0.7,0.7333333333333333,0.7166666666666667,0.5,-1.303348473780318,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1132394443691616,0.021132394443691617,0.21132394443691616,0.21132394443691616,0.004248767179543223,500,200,200,7000,5000,2000,-1.1789493183057778,0.5825913696522287,0.914,2.9750405148788763,1.7405188514724112e-05,3.22936145435146e-05,3.106073816321137e-05,7.166485093568983e-06,-0.00037999900279989585,0.00010461862936440274,-1.1655518827051592,0.822854134884881,0.98,3.9981941135878567,3.1785929474409624e-05,2.219083277156776e-05,-0.0003953550347530791,0.00018283043363301855,-0.019389842714467725,1.2965493962725738,0.0,0.6930974022705402
0.7,0.7333333333333333,0.7333333333333333,0.5,-1.309898191634105,2.0,1.2,0.2,0.8,False,0.01,0.1,2.139718820006439,0.02139718820006439,0.2139718820006439,0.21397188200064393,0.004248767179543223,500,200,200,7000,5000,2000,-1.1511074331894307,0.5796165751241008,0.928,2.9641243295714026,1.9793873100292804e-05,3.463795606691619e-05,3.912906107074585e-05,8.025266362718296e-06,-0.0004014457267827949,0.00011458719406747848,-1.1172360146913054,0.8624590020828975,0.964,4.043123091592061,3.587820367157557e-05,2.467888859194375e-05,-0.0004236365426366676,0.00019496727804758232,-0.007118604470465556,1.3126423565882726,0.0,0.689402170017616
0.7,0.7333333333333333,0.75,0.5,-1.3120894334867956,2.0,1.2,0.2,0.8,False,0.01,0.1,2.164027570189289,0.02164027570189289,0.21640275701892892,0.21640275701892892,0.004451075427225196,500,200,200,7000,5000,2000,-1.125212651460481,0.5933947257934812,0.914,2.8055100674051983,1.9191612138822436e-05,3.483340279279055e-05,3.76339131831859e-05,7.4519127324219535e-06,-0.0004113873410110252,0.00011729847124181674,-1.1282220795735347,0.8408081698190458,0.982,4.036565575667599,3.428076368513419e-05,2.318921216785317e-05,-0.0004177810296646018,0.00019601713878069046,-0.02376041539507532,1.2974554824723712,0.0,0.6685802742483159
0.7,0.7333333333333333,0.7666666666666666,0.5,-1.309898191634105,2.0,1.2,0.2,0.8,False,0.01,0.1,2.1719440706904116,0.021719440706904118,0.21719440706904117,0.21719440706904117,0.004451075427225196,500,200,200,7000,5000,2000,-1.1299245801056828,0.5738624169188061,0.9,2.9939948554288858,1.8981611416810563e-05,3.5273730610120444e-05,3.141300856989079e-05,7.391721221313641e-06,-0.0004117542556981797,0.00011439909625237597,-1.1254315248712274,0.8655908744237767,0.972,3.9735030043310973,3.547581130269334e-05,2.5686674161419863e-05,-0.00042357806136967006,0.00019338937685948885,-0.016260791118398846,1.3038883931381187,0.0,0.6837574628336862
0.7,0.7333333333333333,0.7833333333333333,0.5,-1.303348473780318,2.0,1.2,0.2,0.8,False,0.01,0.1,2.2067359235507236,0.022067359235507237,0.22067359235507236,0.22067359235507236,0.004451075427225196,500,200,200,7000,5000,2000,-1.1101097018594939,0.5655441547183572,0.93,2.8137661314668745,1.945803069307574e-05,3.725359460391303e-05,3.27254416217607e-05,7.861524843542399e-06,-0.00042435262329408363,0.00011602066979447546,-1.1162045907638272,0.8713775377474997,0.962,4.04473089096833,3.700099179297925e-05,2.321633301385506e-05,-0.0004353246964929548,0.00018377394546213946,-0.025143350282106437,1.2887302347812313,0.0,0.6880867705127209
0.7,0.7333333333333333,0.7999999999999999,0.5,-1.292512040004857,2.0,1.2,0.2,0.8,False,0.01,0.1,2.2244004178577654,0.022244004178577654,0.22244004178577656,0.22244004178577656,0.004451075427225196,500,200,200,7000,5000,2000,-1.1195455617699308,0.6145269311638439,0.924,2.934576002963633,2.346908541359497e-05,3.8567937611013405e-05,3.998659339200489e-05,8.333877434958075e-06,-0.0004408333208996281,0.0001259862212261745,-1.0899961811486665,0.9081164637120531,0.956,4.115849933772125,3.877603818413127e-05,2.7302397421603487e-05,-0.00043926681848353876,0.00019783578700933055,-0.016311600338195738,1.2861224611186235,0.0,0.6937793430442664
0.7,0.7333333333333333,0.8166666666666667,0.5,-1.2775076165438362,2.0,1.2,0.2,0.8,False,0.01,0.1,2.2307700293642667,0.02230770029364267,0.22307700293642668,0.2230770029364267,0.004451075427225196,500,200,200,7000,5000,2000,-1.1298473849134358,0.5874680970024471,0.894,2.9842977277057154,2.3320982895464485e-05,3.82397509013971e-05,4.022939675664192e-05,8.020040220088784e-06,-0.00043626056993460396,0.00013023464600880137,-1.1313334885969801,0.8240067303744079,0.982,4.028556586154071,4.157572862257185e-05,2.6768397165269343e-05,-0.00045914530019722124,0.00019961268993880617,-0.01173264864123113,1.276957127766029,0.0,0.6868089817812452
